msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0],msgstr[1]
,Internal or external link to the desired location. Link text is displayed for the site user.,,,,,,Sisäinen tai ulkoinen linkki haluttuun kohteeseen. Linkin teksti -kentän arvo näytetään sivuston käyttäjälle.,
,Image to be used as thumbnail of the link.,,,,,,Kuva jota käytetään linkin yhteydessä.,
,Description,,,,,,Description,
,You can add very short description for the link.,,,,,,Voit lisätä lyhyen kuvauksen linkkiin.,
,Links,,,,,,Linkit,
,The links that you want the paragraph to display.,,,,,,Linkkilistan linkit.,
,Image to be used as an illustration or as a background of the liftup depending on what design you chose.,,,,,,Kuva jota käytetään kuvituskuvana tai taustakuvana lohkossa riippuen siitä minkä tyylin olet lohkolle valinnut.,
,Optional short description for liftup block.,,,,,,Vapaaehtoinen lyhyt kuvaus nostolohkolle.,
,Caption,,,,,,Kuvateksti,
,You can provide a caption for the image here.,,,,,,Voit halutessasi kirjoittaa kuvatekstin kuvalle tähän.,
,Image to be used as an illustration or as a background of the hero depending on what design you chose.,,,,,,Kuva jota käytetään kuvituskuvana tai taustakuvana lohkossa riippuen siitä minkä tyylin olet lohkolle valinnut.,
,Optional short description for hero block.,,,,,,Optional short description for hero block.,
,Background color,,,,,,Taustaväri,
,Choose the background color for the hero element.,,,,,,Valitse lohkolle taustaväri.,
,You can add link button to the banner using this field.,,,,,,Voit lisätä linkkipainikkeen banneriin täyttämällä nämä kentät.,
,Heading,,,,,,Otsikko,
,Items,,,,,,Sisältö,
,Token,,,,,,Muuttuja,
,Full content,,,,,,Koko sisältö,
,Promoted to front page,,,,,,Näytetään etusivulla,
,On,,,,,,Käytössä,
,Off,,,,,,Pois päältä,
,Menu link title,,,,,,Valikon linkin otsikko,
,The text to be used for this link in the menu.,,,,,,Linkin teksti valikossa käytettäväksi.,
,Shown when hovering over the menu link.,,,,,,Näytetään vietäessä hiirtä linkin yli.,
,Archive,,,,,,Arkisto,
,"All content, by month.",,,,,,"Kaikki sisältö, kuukausittain lajiteltuna.",
,Monthly archive,,,,,,Arkisto,
,Apply,,,,,,Käytä,
,‹‹,,,,,,‹‹,
,››,,,,,,››,
,{{ arguments.created_year_month }},,,,,,,
,Block,,,,,,Block,
,Recent content,,,,,,Uusin sisältö,
,Recent content.,,,,,,Recent content.,
,No content available.,,,,,,Ei sisältöä.,
,More,,,,,,Lisää,
,Files,,,,,,Tiedostot,
,Find and manage files.,,,,,,Etsi ja hallitse tiedostoja.,
,‹ Previous,,,,,,‹ Edellinen,
,Next ›,,,,,,Seuraava ›,
,Fid,,,,,,FId,
,Name,,,,,,Nimi,
,MIME type,,,,,,MIME tyyppi,
,Size,,,,,,Koko,
,Status,,,,,,Tila,
,Temporary,,,,,,Tilapäinen,
,Permanent,,,,,,Pysyvä,
,Upload date,,,,,,Latauspäivämäärä,
,Changed date,,,,,,Muutospäivämäärä,
,Used in,,,,,,Käytetään,
,1 place,@count places,,,,,,
,Filename,,,,,,Tiedoston nimi,
,No files available.,,,,,,Tiedostoja ei ole saatavilla.,
,Files overview,,,,,,Files overview,
,File usage,,,,,,Tiedoston käyttö,
,Entity,,,,,,Entiteetti,
,Entity type,,,,,,Entiteetin tyyppi,
,Registering module,,,,,,Käytön kirjannut moduuli,
,Use count,,,,,,Käyttömäärä,
,1,@count,,,,,,
,All,,,,,,Kaikki,
,File usage information for {{ arguments.fid }},,,,,,,
,Glossary,,,,,,Sanasto,
,"All content, by letter.",,,,,,,
,Title,,,,,,Otsikko,
,Author,,,,,,Kirjoittaja,
,Last update,,,,,,Viimeksi päivitetty,
,Attachment,,,,,,Liitetiedosto,
,Media,,,,,,Media,
,Find and manage media.,,,,,,Etsi ja ylläpidä mediatiedostoja.,
,« First,,,,,,« Ensimmäinen,
,Last »,,,,,,Viimeinen »,
,Action,,,,,,Toiminto,
,Thumbnail,,,,,,Pienoiskuva,
,Media name,,,,,,Mediatiedoston nimi,
,Type,,,,,,Tyyppi,
,Published,,,,,,Julkaistu,
,Unpublished,,,,,,Julkaisematon,
,Updated,,,,,,Päivitetty,
,Operations,,,,,,Toimenpiteet,
,True,,,,,,Tosi,
,Published status,,,,,,Julkaisutila,
,Language,,,,,,Kieli,
,No media available.,,,,,,Ei mediatiedostoja saatavilla.,
,Apply filters,,,,,,Suodata tuloksia,
,Publishing status,,,,,,Julkaisun tila,
,Media type,,,,,,Median tyyppi,
,Newest first,,,,,,Uusin ensin,
,Name (A-Z),,,,,,Nimi (A-Z),
,Name (Z-A),,,,,,Nimi (Z-A),
,Edit {{ name }},,,,,,Muokkaa {{ name }},
,Edit,,,,,,Muokkaa,
,Delete {{ name }},,,,,,Poista {{ name }},
,Delete,,,,,,Poista,
,Widget,,,,,,Widgetti,
,Grid,,,,,,Ruudukko,
,Table,,,,,,Taulukko,
,Widget (table),,,,,,Widget (taulukko),
,Taxonomy term,,,,,,Luokittelutermi,
,Content belonging to a certain taxonomy term.,,,,,,"Sisältö, joka kuuluu tiettyyn taksonomiatermiin.",
,{{ arguments.tid }},,,,,,,
,Feed,,,,,,Syöte,
,People,,,,,,Käyttäjät,
,Find and manage people interacting with your site.,,,,,,Etsi ja hallinnoi sivustoasi käyttäviä ihmisiä.,
,Bulk update,,,,,,Massapäivitys,
,Username,,,,,,Käyttäjätunnus,
,Active,,,,,,Voimassa,
,Blocked,,,,,,Suljettu,
,Roles,,,,,,Käyttäjäroolit,
,Member for,,,,,,Käyttäjä jo,
,Last access,,,,,,Viimeksi paikalla,
,Name or email contains,,,,,,Nimi tai sähköposti sisältää,
,Role,,,,,,Rooli,
,Permission,,,,,,Käyttöoikeus,
,No people available.,,,,,,Ei saatavilla olevia ihmisiä.,
,more,,,,,,lisää,
,List,,,,,,Lista,
,"Manage user accounts, roles, and permissions.",,,,,,"Ylläpidä käyttäjiä, rooleja ja käyttöoikeuksia.",
,Webform submissions,,,,,,Verkkolomakelähetykset,
,Default webform submissions views.,,,,,,,
,#,,,,,,#,
,Draft,,,,,,Keskeneräinen,
,IP address,,,,,,IP osoite,
,view,,,,,,näkymä,
,Displaying @start - @end of @total,,,,,,Näytetään @start - @end / @total,
,No submissions available.,,,,,,,
,Embed: Default,,,,,,,
,Display submissions.,,,,,,,
,Embed: Administer,,,,,,,
,Administer submissions.,,,,,,,
,Webform submission operations bulk form,,,,,,,
,Sticky,,,,,,Kiinnitetty,
,Locked,,,,,,Lukittu,
,Completed,,,,,,Valmis,
,Is draft,,,,,,Is draft,
,Embed: Manage,,,,,,,
,Manage submissions.,,,,,,,
,edit,,,,,,muokkaa,
,Embed: Review,,,,,,,
,Review submissions.,,,,,,,
,Who's new,,,,,,Uudet käyttäjät,
,Shows a list of the newest user accounts on the site.,,,,,,Näyttää listan sivuston uusimmista käyttäjätileistä.,
,A list of new users,,,,,,Lista uusista käyttäjistä,
,Who's online block,,,,,,Kuka on paikalla -lohko,
,"Shows the user names of the most recently active users, and the total number of active users.",,,,,,Näyttää viimeksi aktiivisina olleiden käyttäjien käyttäjätunnukset ja aktiivisten käyttäjien kokonaismäärän.,
,A user is considered online for this long after they have last viewed a page.,,,,,,"Sen jäkeen kun käyttäjä viimeksi latasi sivun, hänen katsotaan olevan paikalla vielä näin kauan",
,Who's online,,,,,,Paikalla olevat käyttäjät,
,There are currently @total users online.,,,,,,Tällä hetkellä @total käyttäjää on online.,
,There are currently 0 users online.,,,,,,Tällä hetkellä 0 käyttäjää on online.,
,A list of users that are currently logged in.,,,,,,Lista käyttäjistä jotka ovat online.,
,This form has not yet been opened to submissions.,,,,,,Tätä lomaketta ei ole vielä avattu lähetyksille.,
,Sorry… This form is closed to new submissions.,,,,,,,
,Unable to display this webform. Please contact the site administrator.,,,,,,,
,Submit,,,,,,Lähetä,
,"This form is confidential. You must <a href=""[site:login-url]/logout?destination=[current-page:url:relative]"">Log out</a> to submit it.",,,,,,"Tämä lomake on luottamuksellinen. Sinun täytyy <a href=""[site:login-url]/logout?destination=[current-page:url:relative]"">kirjautua ulos</a> lähettääksesi se.",
,Please login to access this form.,,,,,,,
,Indicates required field,,,,,,,
,< Previous,,,,,,,
,Next >,,,,,,,
,Start,,,,,,Alkaa,
,Complete,,,,,,Valmis,
,Show all,,,,,,Näytä kaikki,
,Hide all,,,,,,Piilota kaikki,
,Preview,,,,,,Esikatselu,
,[webform:title]: Preview,,,,,,,
,"Please review your submission. Your submission is not complete until you press the ""Submit"" button!",,,,,,,
,Save Draft,,,,,,Tallenna keskeneräinen,
,Submission saved. You may return to this form later and it will restore the current values.,,,,,,Tiedot tallennettu. Voit palata tähän lomakkeeseen myöhemmin ja palauttaa nykyiset tiedot.,
,A partially-completed form was found. Please complete the remaining portions.,,,,,,,
,"You have a pending draft for this webform. <a href=""#"">Load your pending draft</a>.",,,,,,,
,"You have pending drafts for this webform. <a href=""#"">View your pending drafts</a>.",,,,,,,
,New submission added to [webform:title].,,,,,,Lisätty uusi lähetys lomakkeelle [webform:title].,
,Back to form,,,,,,,
,[webform_submission:submitted-to]: Submission #[webform_submission:serial],,,,,,,
,Please login to access this submission.,,,,,,,
,Unable to process this submission. Please contact the site administrator.,,,,,,,
,This submission has been locked.,,,,,,,
,"You have already submitted this webform. <a href=""#"">View your previous submission</a>.",,,,,,,
,"You have already submitted this webform. <a href=""#"">View your previous submissions</a>.",,,,,,,
,This submission has been autofilled with your previous submission.,,,,,,,
,No more submissions are permitted.,,,,,,,
,Narrow,,,,,,Kapea,
,Normal,,,,,,Normaali,
,Wide,,,,,,Leveä,
,{Empty},,,,,,-,
,h2,,,,,,,
,Please login to access the uploaded file.,,,,,,,
,Webform submission from: [webform_submission:source-title],,,,,,,
,"Submitted on [webform_submission:created]
Submitted by: [webform_submission:user]

Submitted values are:
[webform_submission:values]
",,,,,,,
,"<p>Submitted on [webform_submission:created]</p>
<p>Submitted by: [webform_submission:user]</p>
<p>Submitted values are:</p>
[webform_submission:values]
",,,,,,,
,"checkbox:
  - true
color:
  - '#ffffcc'
  - '#ffffcc'
  - '#ccffff'
email:
  - 'example@example.com'
  - 'test@test.com'
  - 'random@random.com'
language_select:
  - en
machine_name:
  - 'loremipsum'
  - 'oratione'
  - 'dixisset'
tel:
  - '123-456-7890'
  - '098-765-4321'
textarea:
  - 'Lorem ipsum dolor sit amet, consectetur adipiscing elit. Negat esse eam, inquit, propter se expetendam. Primum Theophrasti, Strato, physicum se voluit; Id mihi magnum videtur. Itaque mihi non satis videmini considerare quod iter sit naturae quaeque progressio. Quare hoc videndum est, possitne nobis hoc ratio philosophorum dare. Est enim tanti philosophi tamque nobilis audacter sua decreta defendere.'
  - 'Huius, Lyco, oratione locuples, rebus ipsis ielunior. Duo Reges: constructio interrete. Sed haec in pueris; Sed utrum hortandus es nobis, Luci, inquit, an etiam tua sponte propensus es? Sapiens autem semper beatus est et est aliquando in dolore; Immo videri fortasse. Paulum, cum regem Persem captum adduceret, eodem flumine invectio? Et ille ridens: Video, inquit, quid agas;'
  - 'Quae cum dixisset, finem ille. Quamquam non negatis nos intellegere quid sit voluptas, sed quid ille dicat. Progredientibus autem aetatibus sensim tardeve potius quasi nosmet ipsos cognoscimus. Gloriosa ostentatio in constituendo summo bono. Qui-vere falsone, quaerere mittimus-dicitur oculis se privasse; Duarum enim vitarum nobis erunt instituta capienda. Comprehensum, quod cognitum non habet? Qui enim existimabit posse se miserum esse beatus non erit. Causa autem fuit huc veniendi ut quosdam hinc libros promerem. Nunc omni virtuti vitium contrario nomine opponitur.'
text_format:
  - value: '<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Negat esse eam, inquit, propter se expetendam. Primum Theophrasti, Strato, physicum se voluit; Id mihi magnum videtur. Itaque mihi non satis videmini considerare quod iter sit naturae quaeque progressio. Quare hoc videndum est, possitne nobis hoc ratio philosophorum dare. Est enim tanti philosophi tamque nobilis audacter sua decreta defendere.</p>'
  - value: '<p>Huius, Lyco, oratione locuples, rebus ipsis ielunior. Duo Reges: constructio interrete. Sed haec in pueris; Sed utrum hortandus es nobis, Luci, inquit, an etiam tua sponte propensus es? Sapiens autem semper beatus est et est aliquando in dolore; Immo videri fortasse. Paulum, cum regem Persem captum adduceret, eodem flumine invectio? Et ille ridens: Video, inquit, quid agas;</p>'
  - value: '<p>Quae cum dixisset, finem ille. Quamquam non negatis nos intellegere quid sit voluptas, sed quid ille dicat. Progredientibus autem aetatibus sensim tardeve potius quasi nosmet ipsos cognoscimus. Gloriosa ostentatio in constituendo summo bono. Qui-vere falsone, quaerere mittimus-dicitur oculis se privasse; Duarum enim vitarum nobis erunt instituta capienda. Comprehensum, quod cognitum non habet? Qui enim existimabit posse se miserum esse beatus non erit. Causa autem fuit huc veniendi ut quosdam hinc libros promerem. Nunc omni virtuti vitium contrario nomine opponitur.</p>'
url:
  - 'http://example.com'
  - 'http://test.com'
webform_email_confirm:
  - 'example@example.com'
  - 'test@test.com'
  - 'random@random.com'
webform_email_multiple:
  - 'example@example.com, test@test.com, random@random.com'
webform_time:
  - '09:00'
  - '17:00'
",,,,,,"checkbox:
  - true
color:
  - '#ffffcc'
  - '#ffffcc'
  - '#ccffff'
email:
  - 'example@example.com'
  - 'test@test.com'
  - 'random@random.com'
language_select:
  - en
machine_name:
  - 'loremipsum'
  - 'oratione'
  - 'dixisset'
tel:
  - '123-456-7890'
  - '098-765-4321'
textarea:
  - 'Lorem ipsum dolor sit amet, consectetur adipiscing elit. Negat esse eam, inquit, propter se expetendam. Primum Theophrasti, Strato, physicum se voluit; Id mihi magnum videtur. Itaque mihi non satis videmini considerare quod iter sit naturae quaeque progressio. Quare hoc videndum est, possitne nobis hoc ratio philosophorum dare. Est enim tanti philosophi tamque nobilis audacter sua decreta defendere.'
  - 'Huius, Lyco, oratione locuples, rebus ipsis ielunior. Duo Reges: constructio interrete. Sed haec in pueris; Sed utrum hortandus es nobis, Luci, inquit, an etiam tua sponte propensus es? Sapiens autem semper beatus est et est aliquando in dolore; Immo videri fortasse. Paulum, cum regem Persem captum adduceret, eodem flumine invectio? Et ille ridens: Video, inquit, quid agas;'
  - 'Quae cum dixisset, finem ille. Quamquam non negatis nos intellegere quid sit voluptas, sed quid ille dicat. Progredientibus autem aetatibus sensim tardeve potius quasi nosmet ipsos cognoscimus. Gloriosa ostentatio in constituendo summo bono. Qui-vere falsone, quaerere mittimus-dicitur oculis se privasse; Duarum enim vitarum nobis erunt instituta capienda. Comprehensum, quod cognitum non habet? Qui enim existimabit posse se miserum esse beatus non erit. Causa autem fuit huc veniendi ut quosdam hinc libros promerem. Nunc omni virtuti vitium contrario nomine opponitur.'
text_format:
  - value: '<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Negat esse eam, inquit, propter se expetendam. Primum Theophrasti, Strato, physicum se voluit; Id mihi magnum videtur. Itaque mihi non satis videmini considerare quod iter sit naturae quaeque progressio. Quare hoc videndum est, possitne nobis hoc ratio philosophorum dare. Est enim tanti philosophi tamque nobilis audacter sua decreta defendere.</p>'
  - value: '<p>Huius, Lyco, oratione locuples, rebus ipsis ielunior. Duo Reges: constructio interrete. Sed haec in pueris; Sed utrum hortandus es nobis, Luci, inquit, an etiam tua sponte propensus es? Sapiens autem semper beatus est et est aliquando in dolore; Immo videri fortasse. Paulum, cum regem Persem captum adduceret, eodem flumine invectio? Et ille ridens: Video, inquit, quid agas;</p>'
  - value: '<p>Quae cum dixisset, finem ille. Quamquam non negatis nos intellegere quid sit voluptas, sed quid ille dicat. Progredientibus autem aetatibus sensim tardeve potius quasi nosmet ipsos cognoscimus. Gloriosa ostentatio in constituendo summo bono. Qui-vere falsone, quaerere mittimus-dicitur oculis se privasse; Duarum enim vitarum nobis erunt instituta capienda. Comprehensum, quod cognitum non habet? Qui enim existimabit posse se miserum esse beatus non erit. Causa autem fuit huc veniendi ut quosdam hinc libros promerem. Nunc omni virtuti vitium contrario nomine opponitur.</p>'
url:
  - 'http://example.com'
  - 'http://test.com'
webform_email_confirm:
  - 'example@example.com'
  - 'test@test.com'
  - 'random@random.com'
webform_email_multiple:
  - 'example@example.com, test@test.com, random@random.com'
webform_time:
  - '09:00'
  - '17:00'
",
,"first_name:
  - 'John'
  - 'Paul'
  - 'Ringo'
  - 'George'
last_name:
  - 'Lennon'
  - 'McCartney'
  - 'Starr'
  - 'Harrison'
address:
  - '10 Main Street'
  - '11 Brook Alley Road. APT 1'
zip:
  - '11111'
  - '12345'
  - '12345-6789'
postal_code:
  - '11111'
  - '12345'
  - '12345-6789'
phone:
  - '123-456-7890'
  - '098-765-4321'
fax:
  - '123-456-7890'
  - '098-765-4321'
city:
  - 'Springfield'
  - 'Pleasantville'
  - 'Hill Valley'
url:
  - 'http://example.com'
  - 'http://test.com'
default:
  - 'Loremipsum'
  - 'Oratione'
  - 'Dixisset'
",,,,,,"first_name:
  - 'John'
  - 'Paul'
  - 'Ringo'
  - 'George'
last_name:
  - 'Lennon'
  - 'McCartney'
  - 'Starr'
  - 'Harrison'
address:
  - '10 Main Street'
  - '11 Brook Alley Road. APT 1'
zip:
  - '11111'
  - '12345'
  - '12345-6789'
postal_code:
  - '11111'
  - '12345'
  - '12345-6789'
phone:
  - '123-456-7890'
  - '098-765-4321'
fax:
  - '123-456-7890'
  - '098-765-4321'
city:
  - 'Springfield'
  - 'Pleasantville'
  - 'Hill Valley'
url:
  - 'http://example.com'
  - 'http://test.com'
default:
  - '12345'
  - '23456'
  - '23423'
",
,Languages,,,,,,Kielet,
,Translations,,,,,,Käännökset,
,Content,,,,,,Sisältö,
,Find and manage content.,,,,,,Etsi ja ylläpidä sisältöä.,
,Content type,,,,,,Sisältötyyppi,
,Find and manage content,,,,,,Etsi ja hallitse sisältöä,
,Scheduled content,,,,,,Scheduled content,
,Find and manage scheduled content.,,,,,,Find and manage scheduled content.,
,Content Type,,,,,,Sisältötyyppi,
,Publish on,,,,,,Julkaisupäivämäärä,
,Unpublish on,,,,,,Julkaisun peruutuspäivämäärä,
,Scheduled Content,,,,,,Scheduled Content,
,No scheduled content.,,,,,,No scheduled content.,
,Scheduled,,,,,,Ajastettu,
,Find and manage scheduled content,,,,,,,
,"Overview of all scheduled content, as a tab on main 'content admin' page",,,,,,"Overview of all scheduled content, as a tab on main 'content admin' page",
,"Revision nid relationship is required because the content type is only stored at 'content' level, not 'content revision' level.",,,,,,,
,Content Overview,,,,,,Content Overview,
,"Scheduled content tab on user profile, showing just that user's scheduled content",,,,,,,
,No scheduled content for user {{ arguments.uid }},,,,,,No scheduled content for user {{ arguments.uid }},
,User profile tab,,,,,,User profile tab,
,[term:url],,,,,,,
,[term:description],,,,,,,
,"[term:name] | [site:name]",,,,,,"[term:name] | [site:page-title-suffix]",
,Global,,,,,,Yleinen,
,[current-page:url],,,,,,,
,"[current-page:title] | [site:name]",,,,,,"[current-page:title] | [site:page-title-suffix]",
,Front page,,,,,,Etusivu,
,[site:url],,,,,,,
,Paragraph,,,,,,Lohko,
,Paragraphs,,,,,,Lohkot,
,Enter your @s username.,,,,,,Syötä käyttäjätunnuksesi sivustolle @s.,
,Password,,,,,,Salasana,
,Enter the password that accompanies your username.,,,,,,Syötä tunnuksesi salasana.,
,Log in,,,,,,Kirjaudu sisään,
,Skip to main content,,,,,,Hyppää pääsisältöön,
,Accept only essential cookies,,,,,,Hyväksy vain välttämättömät evästeet,
,Back to front page,,,,,,,
,Crop type,,,,,,,
,Linkit profile,,,,,,,
,Metatag defaults,,,,,,,
,Pathauto pattern,,,,,,,
,Cookie category,,,,,,,
,Date format,,,,,,Päivämäärän muoto,
,Form mode,,,,,,Lomakemuoto,
,View mode,,,,,,Näyttötila,
,Create new account,,,,,,Luo uusi käyttäjätili,
,Reset your password,,,,,,Palauta salasanasi,
,Primary tabs,,,,,,Primary tabs,
,@local-task-title@active,,,,,,@local-task-title@active,
,(active tab),,,,,,(aktiivinen välilehti),
,@type_label bundle,,,,,,,
,Custom menu link,,,,,,,
,You have just used your one-time login link. It is no longer necessary to use this link to log in. Please change your password.,,,,,,Olet juuri käyttänyt kertakäyttöisen kirjautumislinkkisi. Linkin käyttö jatkossa ei ole tarpeen. Ole hyvä ja muuta salasanasi.,
,@zone,,,,,,@zone,
,Africa/Abidjan,,,,,,,
,Africa/Accra,,,,,,,
,Africa/Addis Ababa,,,,,,,
,Africa/Algiers,,,,,,,
,Africa/Asmara,,,,,,,
,Africa/Bamako,,,,,,,
,Africa/Bangui,,,,,,,
,Africa/Banjul,,,,,,,
,Africa/Bissau,,,,,,,
,Africa/Blantyre,,,,,,,
,Africa/Brazzaville,,,,,,,
,Africa/Bujumbura,,,,,,,
,Africa/Cairo,,,,,,,
,Africa/Casablanca,,,,,,,
,Africa/Ceuta,,,,,,,
,Africa/Conakry,,,,,,,
,Africa/Dakar,,,,,,,
,Africa/Dar es Salaam,,,,,,,
,Africa/Djibouti,,,,,,,
,Africa/Douala,,,,,,,
,Africa/El Aaiun,,,,,,,
,Africa/Freetown,,,,,,,
,Africa/Gaborone,,,,,,,
,Africa/Harare,,,,,,,
,Africa/Johannesburg,,,,,,,
,Africa/Juba,,,,,,,
,Africa/Kampala,,,,,,,
,Africa/Khartoum,,,,,,,
,Africa/Kigali,,,,,,,
,Africa/Kinshasa,,,,,,,
,Africa/Lagos,,,,,,,
,Africa/Libreville,,,,,,,
,Africa/Lome,,,,,,,
,Africa/Luanda,,,,,,,
,Africa/Lubumbashi,,,,,,,
,Africa/Lusaka,,,,,,,
,Africa/Malabo,,,,,,,
,Africa/Maputo,,,,,,,
,Africa/Maseru,,,,,,,
,Africa/Mbabane,,,,,,,
,Africa/Mogadishu,,,,,,,
,Africa/Monrovia,,,,,,,
,Africa/Nairobi,,,,,,,
,Africa/Ndjamena,,,,,,,
,Africa/Niamey,,,,,,,
,Africa/Nouakchott,,,,,,,
,Africa/Ouagadougou,,,,,,,
,Africa/Porto-Novo,,,,,,,
,Africa/Sao Tome,,,,,,,
,Africa/Tripoli,,,,,,,
,Africa/Tunis,,,,,,,
,Africa/Windhoek,,,,,,,
,America/Adak,,,,,,,
,America/Anchorage,,,,,,,
,America/Anguilla,,,,,,,
,America/Antigua,,,,,,,
,America/Araguaina,,,,,,,
,America/Argentina/Buenos Aires,,,,,,,
,America/Argentina/Catamarca,,,,,,,
