msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0]
,Bank account confirmation deleting failed. Issue has been logged.,,,modules/custom/grants_profile/src/Controller/GrantsProfileController.php:219,,,
,Address deleted.,,,modules/custom/grants_profile/src/Controller/GrantsProfileController.php:248,,,
,Address deleting failed.,,,modules/custom/grants_profile/src/Controller/GrantsProfileController.php:255,,,
,Official deleted.,,,modules/custom/grants_profile/src/Controller/GrantsProfileController.php:286,,,
,Official deleted & profile saved.,,,modules/custom/grants_profile/src/Controller/GrantsProfileController.php:293,,,
,Bank account deleted,,,modules/custom/grants_profile/src/Controller/GrantsProfileController.php:335,,,
,"Bank account deletion failed, and error has been logged.",,,modules/custom/grants_profile/src/Controller/GrantsProfileController.php:349,,,
,Profile saving failed. Message: %msg,,,modules/custom/grants_profile/src/Controller/GrantsProfileController.php:217;253;291;347,,,
,Chairperson,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:55 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:78,,,
,Contact person,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:56 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:79,,,
,Other,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:57 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:80,,,
,Financial officer,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:58 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:81,,,
,Auditor,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:59 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:82,,,
,Secretary,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:60 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:83,,,
,Vice Chairperson,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:61 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:84,,,
,Company details not found in registries. Please contact customer service,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:88,,,
,Founding year,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:106;110,,,
,Company short name,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:117;121,,,
,Company www address,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:127;131,,,
,Business Purpose,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:137,,,
,Description of business purpose (max. 500 characters),,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:141,,,
,"Briefly describe the purpose for which the community is working and how the community is fulfilling its purpose. For example, you can use the text ""Community purpose and forms of action"" in the Community rules. Please do not describe the purpose of the grant here, it will be asked later when completing the grant application.",,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:148,,,
,Addresses,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:154;165,,,
,Street,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:169 modules/custom/grants_profile/src/Form/ModalAddressForm.php:128,,,
,City,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:173 modules/custom/grants_profile/src/Form/ModalAddressForm.php:140,,,
,Post code,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:177 modules/custom/grants_profile/src/Form/ModalAddressForm.php:134,,,
,Country,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:181 modules/custom/grants_profile/src/Form/ModalAddressForm.php:146,,,
,Officials,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:198;213;244,,,
,Select,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:202,,,
,Name,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:216 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:146,,,
,Role,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:221 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:152,,,
,Email,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:225 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:160,,,
,Phone,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:229 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:166,,,
,Bank accounts,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:256,,,
,Saved confirmation File,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:264,,,
,Confirmation File,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:269,,,
,Confirm this bank account.,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:279 modules/custom/grants_profile/src/Form/ModalBankAccountForm.php:157,,,
,Save profile,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:298,,,
,grantsProfileContent not found!,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:311,,,
,grantsProfileData not found!,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:408,,,
,Grantsprofile for %c (%s) saved.,,,modules/custom/grants_profile/src/Form/GrantsProfileForm.php:427,,,
,"In order to show a modal dialog by clicking on a link, that link has to have class <code>use-ajax</code> and <code>data-dialog-type=""modal""</code>. This link has those attributes.",,,modules/custom/grants_profile/src/Form/ModalAddressForm.php:101 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:119 modules/custom/grants_profile/src/Form/ModalBankAccountForm.php:104,,,
,See this form as a modal.,,,modules/custom/grants_profile/src/Form/ModalAddressForm.php:105 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:123 modules/custom/grants_profile/src/Form/ModalBankAccountForm.php:108,,,
,Save address,,,modules/custom/grants_profile/src/Form/ModalAddressForm.php:161,,,
,Delete address,,,modules/custom/grants_profile/src/Form/ModalAddressForm.php:181,,,
,addressData not found!,,,modules/custom/grants_profile/src/Form/ModalAddressForm.php:242,,,
,Address has been saved.,,,modules/custom/grants_profile/src/Form/ModalAddressForm.php:253,,,
,Errors,,,modules/custom/grants_profile/src/Form/ModalAddressForm.php:283 modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:305 modules/custom/grants_profile/src/Form/ModalBankAccountForm.php:286,,,
,Save official,,,modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:182,,,
,Delete,,,modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:196,,,
,applicationOfficialData not found!,,,modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:265,,,
,Official has been saved.,,,modules/custom/grants_profile/src/Form/ModalApplicationOfficialForm.php:275,,,
,Confirmation file,,,modules/custom/grants_profile/src/Form/ModalBankAccountForm.php:147,,,
,Save bank account,,,modules/custom/grants_profile/src/Form/ModalBankAccountForm.php:172,,,
,bankAccountData not found!,,,modules/custom/grants_profile/src/Form/ModalBankAccountForm.php:236,,,
,Bank account has been saved.,,,modules/custom/grants_profile/src/Form/ModalBankAccountForm.php:249,,,
,Bank account saving failed.,,,modules/custom/grants_profile/src/Form/ModalBankAccountForm.php:255,,,
,Menu Items For Profile,,,modules/custom/grants_profile/src/Plugin/Block/GrantsProfileMenuItemBlock.php:7,,,
,Application Official,,,modules/custom/grants_profile/src/Plugin/DataType/ApplicationOfficialData.php:7,,,
,Bank Account,,,modules/custom/grants_profile/src/Plugin/DataType/BankAccountData.php:7,,,
Validation,Not empty value,,,modules/custom/grants_profile/src/Plugin/Validation/Constraint/NotEmptyValue.php:7,,,
Validation,Valid Finnish IBAN number,,,modules/custom/grants_profile/src/Plugin/Validation/Constraint/ValidIban.php:7,,,
,Switch role,,,modules/custom/grants_profile/templates/block--grants-profile-menuitem.html.twig:54,,,
,Signout,,,modules/custom/grants_profile/templates/block--grants-profile-menuitem.html.twig:58,,,
,Sign in,,,modules/custom/grants_profile/templates/block--grants-profile-menuitem.html.twig:63,,,
,Company information,,,modules/custom/grants_profile/templates/own-profile-form.html.twig:6 modules/custom/grants_profile/templates/own-profile.html.twig:5,,,
,Avustusten hakeminen edellyttää yhteisön tietojen täydentämistä. Tehdessäsi avustushakemuksia antamasi tiedot täytetää niihin automaattisesti.,,,modules/custom/grants_profile/templates/own-profile-form.html.twig:7 modules/custom/grants_profile/templates/own-profile.html.twig:6,,,
,Basic Information,,,modules/custom/grants_profile/templates/own-profile-form.html.twig:8 modules/custom/grants_profile/templates/own-profile.html.twig:7,,,
,Company name,,,modules/custom/grants_profile/templates/own-profile-form.html.twig:12 modules/custom/grants_profile/templates/own-profile.html.twig:11,,,
,Business ID,,,modules/custom/grants_profile/templates/own-profile-form.html.twig:19 modules/custom/grants_profile/templates/own-profile.html.twig:18,,,
,Company Location,,,modules/custom/grants_profile/templates/own-profile-form.html.twig:23 modules/custom/grants_profile/templates/own-profile.html.twig:22,,,
,Registration Date,,,modules/custom/grants_profile/templates/own-profile-form.html.twig:27 modules/custom/grants_profile/templates/own-profile.html.twig:26,,,
,Company Status,,,modules/custom/grants_profile/templates/own-profile-form.html.twig:31 modules/custom/grants_profile/templates/own-profile.html.twig:30,,,
,Special Status,,,modules/custom/grants_profile/templates/own-profile-form.html.twig:35 modules/custom/grants_profile/templates/own-profile.html.twig:34,,,
,Marked fields habe been retreived from PRH and cannot be edited.,,,modules/custom/grants_profile/templates/own-profile-form.html.twig:42 modules/custom/grants_profile/templates/own-profile.html.twig:41,,,
