msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0],msgstr[1]
,Internal or external link to the desired location. Link text is displayed for the site user.,,,,,,,
,Image to be used as thumbnail of the link.,,,,,,,
,Description,,,,,,,
,You can add very short description for the link.,,,,,,,
,Links,,,,,,,
,The links that you want the paragraph to display.,,,,,,,
,Image to be used as an illustration or as a background of the liftup depending on what design you chose.,,,,,,,
,Optional short description for liftup block.,,,,,,,
,Caption,,,,,,,
,You can provide a caption for the image here.,,,,,,,
,Image to be used as an illustration or as a background of the hero depending on what design you chose.,,,,,,,
,Optional short description for hero block.,,,,,,,
,Background color,,,,,,,
,Choose the background color for the hero element.,,,,,,,
,You can add link button to the banner using this field.,,,,,,,
,Heading,,,,,,,
,Items,,,,,,,
,Token,,,,,,,
,Full content,,,,,,,
,Promoted to front page,,,,,,,
,On,,,,,,,
,Off,,,,,,,
,Menu link title,,,,,,,
,The text to be used for this link in the menu.,,,,,,,
,Shown when hovering over the menu link.,,,,,,,
,Archive,,,,,,,
,"All content, by month.",,,,,,,
,Monthly archive,,,,,,,
,Apply,,,,,,,
,‹‹,,,,,,,
,››,,,,,,,
,{{ arguments.created_year_month }},,,,,,,
,Block,,,,,,,
,Recent content,,,,,,,
,Recent content.,,,,,,,
,No content available.,,,,,,,
,More,,,,,,,
,Files,,,,,,,
,Find and manage files.,,,,,,,
,‹ Previous,,,,,,,
,Next ›,,,,,,,
,Fid,,,,,,,
,Name,,,,,,,
,MIME type,,,,,,,
,Size,,,,,,,
,Status,,,,,,,
,Temporary,,,,,,,
,Permanent,,,,,,,
,Upload date,,,,,,,
,Changed date,,,,,,,
,Used in,,,,,,,
,1 place,@count places,,,,,,
,Filename,,,,,,,
,No files available.,,,,,,,
,Files overview,,,,,,,
,File usage,,,,,,,
,Entity,,,,,,,
,Entity type,,,,,,,
,Registering module,,,,,,,
,Use count,,,,,,,
,1,@count,,,,,,
,All,,,,,,,
,File usage information for {{ arguments.fid }},,,,,,,
,Glossary,,,,,,,
,"All content, by letter.",,,,,,,
,Title,,,,,,,
,Author,,,,,,,
,Last update,,,,,,,
,Attachment,,,,,,,
,Media,,,,,,,
,Find and manage media.,,,,,,,
,« First,,,,,,,
,Last »,,,,,,,
,Action,,,,,,,
,Thumbnail,,,,,,,
,Media name,,,,,,,
,Type,,,,,,,
,Published,,,,,,,
,Unpublished,,,,,,,
,Updated,,,,,,,
,Operations,,,,,,,
,True,,,,,,,
,Published status,,,,,,,
,Language,,,,,,,
,No media available.,,,,,,,
,Apply filters,,,,,,,
,Publishing status,,,,,,,
,Media type,,,,,,,
,Newest first,,,,,,,
,Name (A-Z),,,,,,,
,Name (Z-A),,,,,,,
,Edit {{ name }},,,,,,,
,Edit,,,,,,,
,Delete {{ name }},,,,,,,
,Delete,,,,,,,
,Widget,,,,,,,
,Grid,,,,,,,
,Table,,,,,,,
,Widget (table),,,,,,,
,Taxonomy term,,,,,,,
,Content belonging to a certain taxonomy term.,,,,,,,
,{{ arguments.tid }},,,,,,,
,Feed,,,,,,,
,People,,,,,,,
,Find and manage people interacting with your site.,,,,,,,
,Bulk update,,,,,,,
,Username,,,,,,,
,Active,,,,,,,
,Blocked,,,,,,,
,Roles,,,,,,,
,Member for,,,,,,,
,Last access,,,,,,,
,Name or email contains,,,,,,,
,Role,,,,,,,
,Permission,,,,,,,
,No people available.,,,,,,,
,more,,,,,,,
,List,,,,,,,
,"Manage user accounts, roles, and permissions.",,,,,,,
,Webform submissions,,,,,,,
,Default webform submissions views.,,,,,,,
,#,,,,,,,
,Draft,,,,,,,
,IP address,,,,,,,
,view,,,,,,,
,Displaying @start - @end of @total,,,,,,,
,No submissions available.,,,,,,,
,Embed: Default,,,,,,,
,Display submissions.,,,,,,,
,Embed: Administer,,,,,,,
,Administer submissions.,,,,,,,
,Webform submission operations bulk form,,,,,,,
,Sticky,,,,,,,
,Locked,,,,,,,
,Completed,,,,,,,
,Is draft,,,,,,,
,Embed: Manage,,,,,,,
,Manage submissions.,,,,,,,
,edit,,,,,,,
,Embed: Review,,,,,,,
,Review submissions.,,,,,,,
,Who's new,,,,,,,
,Shows a list of the newest user accounts on the site.,,,,,,,
,A list of new users,,,,,,,
,Who's online block,,,,,,,
,"Shows the user names of the most recently active users, and the total number of active users.",,,,,,,
,A user is considered online for this long after they have last viewed a page.,,,,,,,
,Who's online,,,,,,,
,There are currently @total users online.,,,,,,,
,There are currently 0 users online.,,,,,,,
,A list of users that are currently logged in.,,,,,,,
,This form has not yet been opened to submissions.,,,,,,,
,Sorry… This form is closed to new submissions.,,,,,,,
,Unable to display this webform. Please contact the site administrator.,,,,,,,
,Submit,,,,,,,
,"This form is confidential. You must <a href=""[site:login-url]/logout?destination=[current-page:url:relative]"">Log out</a> to submit it.",,,,,,,
,Please login to access this form.,,,,,,,
,Indicates required field,,,,,,,
,< Previous,,,,,,,
,Next >,,,,,,,
,Start,,,,,,,
,Complete,,,,,,,
,Show all,,,,,,,
,Hide all,,,,,,,
,Preview,,,,,,,
,[webform:title]: Preview,,,,,,,
,"Please review your submission. Your submission is not complete until you press the ""Submit"" button!",,,,,,,
,Save Draft,,,,,,,
,Submission saved. You may return to this form later and it will restore the current values.,,,,,,,
,A partially-completed form was found. Please complete the remaining portions.,,,,,,,
,"You have a pending draft for this webform. <a href=""#"">Load your pending draft</a>.",,,,,,,
,"You have pending drafts for this webform. <a href=""#"">View your pending drafts</a>.",,,,,,,
,New submission added to [webform:title].,,,,,,,
,Back to form,,,,,,,
,[webform_submission:submitted-to]: Submission #[webform_submission:serial],,,,,,,
,Please login to access this submission.,,,,,,,
,Unable to process this submission. Please contact the site administrator.,,,,,,,
,This submission has been locked.,,,,,,,
,"You have already submitted this webform. <a href=""#"">View your previous submission</a>.",,,,,,,
,"You have already submitted this webform. <a href=""#"">View your previous submissions</a>.",,,,,,,
,This submission has been autofilled with your previous submission.,,,,,,,
,No more submissions are permitted.,,,,,,,
,Narrow,,,,,,,
,Normal,,,,,,,
,Wide,,,,,,,
,{Empty},,,,,,,
,h2,,,,,,,
,Please login to access the uploaded file.,,,,,,,
,Webform submission from: [webform_submission:source-title],,,,,,,
,"Submitted on [webform_submission:created]
Submitted by: [webform_submission:user]

Submitted values are:
[webform_submission:values]
",,,,,,,
,"<p>Submitted on [webform_submission:created]</p>
<p>Submitted by: [webform_submission:user]</p>
<p>Submitted values are:</p>
[webform_submission:values]
",,,,,,,
,"checkbox:
  - true
color:
  - '#ffffcc'
  - '#ffffcc'
  - '#ccffff'
email:
  - 'example@example.com'
  - 'test@test.com'
  - 'random@random.com'
language_select:
  - en
machine_name:
  - 'loremipsum'
  - 'oratione'
  - 'dixisset'
tel:
  - '123-456-7890'
  - '098-765-4321'
textarea:
  - 'Lorem ipsum dolor sit amet, consectetur adipiscing elit. Negat esse eam, inquit, propter se expetendam. Primum Theophrasti, Strato, physicum se voluit; Id mihi magnum videtur. Itaque mihi non satis videmini considerare quod iter sit naturae quaeque progressio. Quare hoc videndum est, possitne nobis hoc ratio philosophorum dare. Est enim tanti philosophi tamque nobilis audacter sua decreta defendere.'
  - 'Huius, Lyco, oratione locuples, rebus ipsis ielunior. Duo Reges: constructio interrete. Sed haec in pueris; Sed utrum hortandus es nobis, Luci, inquit, an etiam tua sponte propensus es? Sapiens autem semper beatus est et est aliquando in dolore; Immo videri fortasse. Paulum, cum regem Persem captum adduceret, eodem flumine invectio? Et ille ridens: Video, inquit, quid agas;'
  - 'Quae cum dixisset, finem ille. Quamquam non negatis nos intellegere quid sit voluptas, sed quid ille dicat. Progredientibus autem aetatibus sensim tardeve potius quasi nosmet ipsos cognoscimus. Gloriosa ostentatio in constituendo summo bono. Qui-vere falsone, quaerere mittimus-dicitur oculis se privasse; Duarum enim vitarum nobis erunt instituta capienda. Comprehensum, quod cognitum non habet? Qui enim existimabit posse se miserum esse beatus non erit. Causa autem fuit huc veniendi ut quosdam hinc libros promerem. Nunc omni virtuti vitium contrario nomine opponitur.'
text_format:
  - value: '<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Negat esse eam, inquit, propter se expetendam. Primum Theophrasti, Strato, physicum se voluit; Id mihi magnum videtur. Itaque mihi non satis videmini considerare quod iter sit naturae quaeque progressio. Quare hoc videndum est, possitne nobis hoc ratio philosophorum dare. Est enim tanti philosophi tamque nobilis audacter sua decreta defendere.</p>'
  - value: '<p>Huius, Lyco, oratione locuples, rebus ipsis ielunior. Duo Reges: constructio interrete. Sed haec in pueris; Sed utrum hortandus es nobis, Luci, inquit, an etiam tua sponte propensus es? Sapiens autem semper beatus est et est aliquando in dolore; Immo videri fortasse. Paulum, cum regem Persem captum adduceret, eodem flumine invectio? Et ille ridens: Video, inquit, quid agas;</p>'
  - value: '<p>Quae cum dixisset, finem ille. Quamquam non negatis nos intellegere quid sit voluptas, sed quid ille dicat. Progredientibus autem aetatibus sensim tardeve potius quasi nosmet ipsos cognoscimus. Gloriosa ostentatio in constituendo summo bono. Qui-vere falsone, quaerere mittimus-dicitur oculis se privasse; Duarum enim vitarum nobis erunt instituta capienda. Comprehensum, quod cognitum non habet? Qui enim existimabit posse se miserum esse beatus non erit. Causa autem fuit huc veniendi ut quosdam hinc libros promerem. Nunc omni virtuti vitium contrario nomine opponitur.</p>'
url:
  - 'http://example.com'
  - 'http://test.com'
webform_email_confirm:
  - 'example@example.com'
  - 'test@test.com'
  - 'random@random.com'
webform_email_multiple:
  - 'example@example.com, test@test.com, random@random.com'
webform_time:
  - '09:00'
  - '17:00'
",,,,,,,
,"first_name:
  - 'John'
  - 'Paul'
  - 'Ringo'
  - 'George'
last_name:
  - 'Lennon'
  - 'McCartney'
  - 'Starr'
  - 'Harrison'
address:
  - '10 Main Street'
  - '11 Brook Alley Road. APT 1'
zip:
  - '11111'
  - '12345'
  - '12345-6789'
postal_code:
  - '11111'
  - '12345'
  - '12345-6789'
phone:
  - '123-456-7890'
  - '098-765-4321'
fax:
  - '123-456-7890'
  - '098-765-4321'
city:
  - 'Springfield'
  - 'Pleasantville'
  - 'Hill Valley'
url:
  - 'http://example.com'
  - 'http://test.com'
default:
  - 'Loremipsum'
  - 'Oratione'
  - 'Dixisset'
",,,,,,,
,Languages,,,,,,,
,Translations,,,,,,,
,Content,,,,,,,
,Find and manage content.,,,,,,,
,Content type,,,,,,,
,Find and manage content,,,,,,,
,Scheduled content,,,,,,,
,Find and manage scheduled content.,,,,,,,
,Content Type,,,,,,,
,Publish on,,,,,,,
,Unpublish on,,,,,,,
,Scheduled Content,,,,,,,
,No scheduled content.,,,,,,,
,Scheduled,,,,,,,
,Find and manage scheduled content,,,,,,,
,"Overview of all scheduled content, as a tab on main 'content admin' page",,,,,,,
,"Revision nid relationship is required because the content type is only stored at 'content' level, not 'content revision' level.",,,,,,,
,Content Overview,,,,,,,
,"Scheduled content tab on user profile, showing just that user's scheduled content",,,,,,,
,No scheduled content for user {{ arguments.uid }},,,,,,,
,User profile tab,,,,,,,
,[term:url],,,,,,,
,[term:description],,,,,,,
,"[term:name] | [site:name]",,,,,,,
,Global,,,,,,,
,[current-page:url],,,,,,,
,"[current-page:title] | [site:name]",,,,,,,
,Front page,,,,,,,
,[site:url],,,,,,,
,Paragraph,,,,,,,
,Paragraphs,,,,,,,
,Enter your @s username.,,,,,,,
,Password,,,,,,,
,Enter the password that accompanies your username.,,,,,,,
,Log in,,,,,,,
,Skip to main content,,,,,,,
,Accept only essential cookies,,,,,,,
,Back to front page,,,,,,,
,Crop type,,,,,,,
,Linkit profile,,,,,,,
,Metatag defaults,,,,,,,
,Pathauto pattern,,,,,,,
,Cookie category,,,,,,,
,Date format,,,,,,,
,Form mode,,,,,,,
,View mode,,,,,,,
,Create new account,,,,,,,
,Reset your password,,,,,,,
,Primary tabs,,,,,,,
,@local-task-title@active,,,,,,,
,(active tab),,,,,,,
,@type_label bundle,,,,,,,
,Custom menu link,,,,,,,
,You have just used your one-time login link. It is no longer necessary to use this link to log in. Please change your password.,,,,,,,
,@zone,,,,,,,
,Africa/Abidjan,,,,,,,
,Africa/Accra,,,,,,,
,Africa/Addis Ababa,,,,,,,
,Africa/Algiers,,,,,,,
,Africa/Asmara,,,,,,,
,Africa/Bamako,,,,,,,
,Africa/Bangui,,,,,,,
,Africa/Banjul,,,,,,,
,Africa/Bissau,,,,,,,
,Africa/Blantyre,,,,,,,
,Africa/Brazzaville,,,,,,,
,Africa/Bujumbura,,,,,,,
,Africa/Cairo,,,,,,,
,Africa/Casablanca,,,,,,,
,Africa/Ceuta,,,,,,,
,Africa/Conakry,,,,,,,
,Africa/Dakar,,,,,,,
,Africa/Dar es Salaam,,,,,,,
,Africa/Djibouti,,,,,,,
,Africa/Douala,,,,,,,
,Africa/El Aaiun,,,,,,,
,Africa/Freetown,,,,,,,
,Africa/Gaborone,,,,,,,
,Africa/Harare,,,,,,,
,Africa/Johannesburg,,,,,,,
,Africa/Juba,,,,,,,
,Africa/Kampala,,,,,,,
,Africa/Khartoum,,,,,,,
,Africa/Kigali,,,,,,,
,Africa/Kinshasa,,,,,,,
,Africa/Lagos,,,,,,,
,Africa/Libreville,,,,,,,
,Africa/Lome,,,,,,,
,Africa/Luanda,,,,,,,
,Africa/Lubumbashi,,,,,,,
,Africa/Lusaka,,,,,,,
,Africa/Malabo,,,,,,,
,Africa/Maputo,,,,,,,
,Africa/Maseru,,,,,,,
,Africa/Mbabane,,,,,,,
,Africa/Mogadishu,,,,,,,
,Africa/Monrovia,,,,,,,
,Africa/Nairobi,,,,,,,
,Africa/Ndjamena,,,,,,,
,Africa/Niamey,,,,,,,
,Africa/Nouakchott,,,,,,,
,Africa/Ouagadougou,,,,,,,
,Africa/Porto-Novo,,,,,,,
,Africa/Sao Tome,,,,,,,
,Africa/Tripoli,,,,,,,
,Africa/Tunis,,,,,,,
,Africa/Windhoek,,,,,,,
,America/Adak,,,,,,,
,America/Anchorage,,,,,,,
,America/Anguilla,,,,,,,
,America/Antigua,,,,,,,
,America/Araguaina,,,,,,,
,America/Argentina/Buenos Aires,,,,,,,
,America/Argentina/Catamarca,,,,,,,
,America/Argentina/Cordoba,,,,,,,
,America/Argentina/Jujuy,,,,,,,
,America/Argentina/La Rioja,,,,,,,
,America/Argentina/Mendoza,,,,,,,
,America/Argentina/Rio Gallegos,,,,,,,
,America/Argentina/Salta,,,,,,,
,America/Argentina/San Juan,,,,,,,
,America/Argentina/San Luis,,,,,,,
,America/Argentina/Tucuman,,,,,,,
,America/Argentina/Ushuaia,,,,,,,
,America/Aruba,,,,,,,
,America/Asuncion,,,,,,,
,America/Atikokan,,,,,,,
,America/Bahia,,,,,,,
,America/Bahia Banderas,,,,,,,
,America/Barbados,,,,,,,
,America/Belem,,,,,,,
,America/Belize,,,,,,,
,America/Blanc-Sablon,,,,,,,
,America/Boa Vista,,,,,,,
,America/Bogota,,,,,,,
,America/Boise,,,,,,,
,America/Cambridge Bay,,,,,,,
,America/Campo Grande,,,,,,,
,America/Cancun,,,,,,,
,America/Caracas,,,,,,,
,America/Cayenne,,,,,,,
,America/Cayman,,,,,,,
,America/Chicago,,,,,,,
,America/Chihuahua,,,,,,,
,America/Costa Rica,,,,,,,
,America/Creston,,,,,,,
,America/Cuiaba,,,,,,,
,America/Curacao,,,,,,,
,America/Danmarkshavn,,,,,,,
,America/Dawson,,,,,,,
,America/Dawson Creek,,,,,,,
,America/Denver,,,,,,,
,America/Detroit,,,,,,,
,America/Dominica,,,,,,,
,America/Edmonton,,,,,,,
,America/Eirunepe,,,,,,,
,America/El Salvador,,,,,,,
,America/Fort Nelson,,,,,,,
,America/Fortaleza,,,,,,,
,America/Glace Bay,,,,,,,
,America/Goose Bay,,,,,,,
,America/Grand Turk,,,,,,,
,America/Grenada,,,,,,,
,America/Guadeloupe,,,,,,,
,America/Guatemala,,,,,,,
,America/Guayaquil,,,,,,,
,America/Guyana,,,,,,,
,America/Halifax,,,,,,,
,America/Havana,,,,,,,
,America/Hermosillo,,,,,,,
,America/Indiana/Indianapolis,,,,,,,
,America/Indiana/Knox,,,,,,,
,America/Indiana/Marengo,,,,,,,
,America/Indiana/Petersburg,,,,,,,
,America/Indiana/Tell City,,,,,,,
,America/Indiana/Vevay,,,,,,,
,America/Indiana/Vincennes,,,,,,,
,America/Indiana/Winamac,,,,,,,
,America/Inuvik,,,,,,,
,America/Iqaluit,,,,,,,
,America/Jamaica,,,,,,,
,America/Juneau,,,,,,,
,America/Kentucky/Louisville,,,,,,,
,America/Kentucky/Monticello,,,,,,,
,America/Kralendijk,,,,,,,
,America/La Paz,,,,,,,
,America/Lima,,,,,,,
,America/Los Angeles,,,,,,,
,America/Lower Princes,,,,,,,
,America/Maceio,,,,,,,
,America/Managua,,,,,,,
,America/Manaus,,,,,,,
,America/Marigot,,,,,,,
,America/Martinique,,,,,,,
,America/Matamoros,,,,,,,
,America/Mazatlan,,,,,,,
,America/Menominee,,,,,,,
,America/Merida,,,,,,,
,America/Metlakatla,,,,,,,
,America/Mexico City,,,,,,,
,America/Miquelon,,,,,,,
,America/Moncton,,,,,,,
,America/Monterrey,,,,,,,
,America/Montevideo,,,,,,,
,America/Montserrat,,,,,,,
,America/Nassau,,,,,,,
,America/New York,,,,,,,
,America/Nipigon,,,,,,,
,America/Nome,,,,,,,
,America/Noronha,,,,,,,
,America/North Dakota/Beulah,,,,,,,
,America/North Dakota/Center,,,,,,,
,America/North Dakota/New Salem,,,,,,,
,America/Nuuk,,,,,,,
,America/Ojinaga,,,,,,,
,America/Panama,,,,,,,
,America/Pangnirtung,,,,,,,
,America/Paramaribo,,,,,,,
,America/Phoenix,,,,,,,
,America/Port of Spain,,,,,,,
,America/Port-au-Prince,,,,,,,
,America/Porto Velho,,,,,,,
,America/Puerto Rico,,,,,,,
,America/Punta Arenas,,,,,,,
,America/Rainy River,,,,,,,
,America/Rankin Inlet,,,,,,,
,America/Recife,,,,,,,
,America/Regina,,,,,,,
,America/Resolute,,,,,,,
,America/Rio Branco,,,,,,,
,America/Santarem,,,,,,,
,America/Santiago,,,,,,,
,America/Santo Domingo,,,,,,,
,America/Sao Paulo,,,,,,,
,America/Scoresbysund,,,,,,,
,America/Sitka,,,,,,,
,America/St Barthelemy,,,,,,,
,America/St Johns,,,,,,,
,America/St Kitts,,,,,,,
,America/St Lucia,,,,,,,
,America/St Thomas,,,,,,,
,America/St Vincent,,,,,,,
,America/Swift Current,,,,,,,
,America/Tegucigalpa,,,,,,,
,America/Thule,,,,,,,
,America/Thunder Bay,,,,,,,
,America/Tijuana,,,,,,,
,America/Toronto,,,,,,,
,America/Tortola,,,,,,,
,America/Vancouver,,,,,,,
,America/Whitehorse,,,,,,,
,America/Winnipeg,,,,,,,
,America/Yakutat,,,,,,,
,America/Yellowknife,,,,,,,
,Antarctica/Casey,,,,,,,
,Antarctica/Davis,,,,,,,
,Antarctica/DumontDUrville,,,,,,,
,Antarctica/Macquarie,,,,,,,
,Antarctica/Mawson,,,,,,,
,Antarctica/McMurdo,,,,,,,
,Antarctica/Palmer,,,,,,,
,Antarctica/Rothera,,,,,,,
,Antarctica/Syowa,,,,,,,
,Antarctica/Troll,,,,,,,
,Antarctica/Vostok,,,,,,,
,Arctic/Longyearbyen,,,,,,,
,Asia/Aden,,,,,,,
,Asia/Almaty,,,,,,,
,Asia/Amman,,,,,,,
,Asia/Anadyr,,,,,,,
,Asia/Aqtau,,,,,,,
,Asia/Aqtobe,,,,,,,
,Asia/Ashgabat,,,,,,,
,Asia/Atyrau,,,,,,,
,Asia/Baghdad,,,,,,,
,Asia/Bahrain,,,,,,,
,Asia/Baku,,,,,,,
,Asia/Bangkok,,,,,,,
,Asia/Barnaul,,,,,,,
,Asia/Beirut,,,,,,,
,Asia/Bishkek,,,,,,,
,Asia/Brunei,,,,,,,
,Asia/Chita,,,,,,,
,Asia/Choibalsan,,,,,,,
,Asia/Colombo,,,,,,,
,Asia/Damascus,,,,,,,
,Asia/Dhaka,,,,,,,
,Asia/Dili,,,,,,,
,Asia/Dubai,,,,,,,
,Asia/Dushanbe,,,,,,,
,Asia/Famagusta,,,,,,,
,Asia/Gaza,,,,,,,
,Asia/Hebron,,,,,,,
,Asia/Ho Chi Minh,,,,,,,
,Asia/Hong Kong,,,,,,,
,Asia/Hovd,,,,,,,
,Asia/Irkutsk,,,,,,,
,Asia/Jakarta,,,,,,,
,Asia/Jayapura,,,,,,,
,Asia/Jerusalem,,,,,,,
,Asia/Kabul,,,,,,,
,Asia/Kamchatka,,,,,,,
,Asia/Karachi,,,,,,,
,Asia/Kathmandu,,,,,,,
,Asia/Khandyga,,,,,,,
,Asia/Kolkata,,,,,,,
,Asia/Krasnoyarsk,,,,,,,
,Asia/Kuala Lumpur,,,,,,,
,Asia/Kuching,,,,,,,
,Asia/Kuwait,,,,,,,
,Asia/Macau,,,,,,,
,Asia/Magadan,,,,,,,
,Asia/Makassar,,,,,,,
,Asia/Manila,,,,,,,
,Asia/Muscat,,,,,,,
,Asia/Nicosia,,,,,,,
,Asia/Novokuznetsk,,,,,,,
,Asia/Novosibirsk,,,,,,,
,Asia/Omsk,,,,,,,
,Asia/Oral,,,,,,,
,Asia/Phnom Penh,,,,,,,
,Asia/Pontianak,,,,,,,
,Asia/Pyongyang,,,,,,,
,Asia/Qatar,,,,,,,
,Asia/Qostanay,,,,,,,
,Asia/Qyzylorda,,,,,,,
,Asia/Riyadh,,,,,,,
,Asia/Sakhalin,,,,,,,
,Asia/Samarkand,,,,,,,
,Asia/Seoul,,,,,,,
,Asia/Shanghai,,,,,,,
,Asia/Singapore,,,,,,,
,Asia/Srednekolymsk,,,,,,,
,Asia/Taipei,,,,,,,
,Asia/Tashkent,,,,,,,
,Asia/Tbilisi,,,,,,,
,Asia/Tehran,,,,,,,
,Asia/Thimphu,,,,,,,
,Asia/Tokyo,,,,,,,
,Asia/Tomsk,,,,,,,
,Asia/Ulaanbaatar,,,,,,,
,Asia/Urumqi,,,,,,,
,Asia/Ust-Nera,,,,,,,
,Asia/Vientiane,,,,,,,
,Asia/Vladivostok,,,,,,,
,Asia/Yakutsk,,,,,,,
,Asia/Yangon,,,,,,,
,Asia/Yekaterinburg,,,,,,,
,Asia/Yerevan,,,,,,,
,Atlantic/Azores,,,,,,,
,Atlantic/Bermuda,,,,,,,
,Atlantic/Canary,,,,,,,
,Atlantic/Cape Verde,,,,,,,
,Atlantic/Faroe,,,,,,,
,Atlantic/Madeira,,,,,,,
,Atlantic/Reykjavik,,,,,,,
,Atlantic/South Georgia,,,,,,,
,Atlantic/St Helena,,,,,,,
,Atlantic/Stanley,,,,,,,
,Australia/Adelaide,,,,,,,
,Australia/Brisbane,,,,,,,
,Australia/Broken Hill,,,,,,,
,Australia/Darwin,,,,,,,
,Australia/Eucla,,,,,,,
,Australia/Hobart,,,,,,,
,Australia/Lindeman,,,,,,,
,Australia/Lord Howe,,,,,,,
,Australia/Melbourne,,,,,,,
,Australia/Perth,,,,,,,
,Australia/Sydney,,,,,,,
,Europe/Amsterdam,,,,,,,
,Europe/Andorra,,,,,,,
,Europe/Astrakhan,,,,,,,
,Europe/Athens,,,,,,,
,Europe/Belgrade,,,,,,,
,Europe/Berlin,,,,,,,
,Europe/Bratislava,,,,,,,
,Europe/Brussels,,,,,,,
,Europe/Bucharest,,,,,,,
,Europe/Budapest,,,,,,,
,Europe/Busingen,,,,,,,
,Europe/Chisinau,,,,,,,
,Europe/Copenhagen,,,,,,,
,Europe/Dublin,,,,,,,
,Europe/Gibraltar,,,,,,,
,Europe/Guernsey,,,,,,,
,Europe/Helsinki,,,,,,,
,Europe/Isle of Man,,,,,,,
,Europe/Istanbul,,,,,,,
,Europe/Jersey,,,,,,,
,Europe/Kaliningrad,,,,,,,
,Europe/Kiev,,,,,,,
,Europe/Kirov,,,,,,,
,Europe/Lisbon,,,,,,,
,Europe/Ljubljana,,,,,,,
,Europe/London,,,,,,,
,Europe/Luxembourg,,,,,,,
,Europe/Madrid,,,,,,,
,Europe/Malta,,,,,,,
,Europe/Mariehamn,,,,,,,
,Europe/Minsk,,,,,,,
,Europe/Monaco,,,,,,,
,Europe/Moscow,,,,,,,
,Europe/Oslo,,,,,,,
,Europe/Paris,,,,,,,
,Europe/Podgorica,,,,,,,
,Europe/Prague,,,,,,,
,Europe/Riga,,,,,,,
,Europe/Rome,,,,,,,
,Europe/Samara,,,,,,,
,Europe/San Marino,,,,,,,
,Europe/Sarajevo,,,,,,,
,Europe/Saratov,,,,,,,
,Europe/Simferopol,,,,,,,
