msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0],msgstr[1]
,There is no redirect yet.,,,,,,Det finns ingen omdirigering ännu.,
,Page,,,,,,Sida,
,Keywords,,,,,,Nyckelord,
,Text,,,,,,Text,
,Image,,,,,,Bild,
,Image with a caption,,,,,,,
,Columns,,,,,,Kolumner,
,"With columns paragraph content producer can divide content in to two columns. The columns can be equal width or divided in to 30/70 proportion. 
The content producer can choose what paragraphs to add into the columns.",,,,,,,
,Basic page,,,,,,Enkel sida,
,Content type for pages that include information that doesn't age as quickly as for example article or news content.,,,,,,,
,Article,,,,,,Artikel,
,Content type for article-like content with rich editing capabilities.,,,,,,,
,User,,,,,,Användare,
,[user:url],,,,,,,
,[site:name],,,,,,,
,"[user:display-name] | [site:name]",,,,,,"[user:display-name] | [site:page-title-suffix]",
,Remote video,,,,,,Remote video,
,Media type for remote media from external sources.,,,,,,"Mediatyyppi ulkoisten palveluiden, kuten YouTube tarjoamille videoille.",
,Use local image for reusable media.,,,,,,,
,File,,,,,,Fil,
,Media type file for general files such as documents and charts.,,,,,,,
,Plain text,,,,,,Ren text,
,White,,,,,,Vit,
,Grey,,,,,,Grå,
,Link,,,,,,Länk,
,Internal or external link to the desired location. Link text is displayed for the site user.,,,,,,,
,Image to be used as thumbnail of the link.,,,,,,,
,Description,,,,,,Beskrivning,
,You can add very short description for the link.,,,,,,,
,Links,,,,,,Links,
,The links that you want the paragraph to display.,,,,,,Linkkilistan linkit.,
,Image to be used as an illustration or as a background of the liftup depending on what design you chose.,,,,,,,
,Optional short description for liftup block.,,,,,,,
,Caption,,,,,,Bildtext,
,You can provide a caption for the image here.,,,,,,,
,Image to be used as an illustration or as a background of the hero depending on what design you chose.,,,,,,,
,Optional short description for hero block.,,,,,,,
,Background color,,,,,,Bakgrundsfärg,
,Choose the background color for the hero element.,,,,,,,
,You can add link button to the banner using this field.,,,,,,,
,Heading,,,,,,Rubrik,
,Items,,,,,,Poster,
,Token,,,,,,Ersättningstecken,
,Full content,,,,,,Fullständigt innehåll,
,Promoted to front page,,,,,,Visas på startsidan,
,On,,,,,,På,
,Off,,,,,,Av,
,Menu link title,,,,,,Titel på menylänken,
,The text to be used for this link in the menu.,,,,,,Texten som skall användas för denna länken i menyn.,
,Shown when hovering over the menu link.,,,,,,Visas när man för musmarkören över menylänken.,
,Archive,,,,,,Arkiv,
,"All content, by month.",,,,,,"Allt innehåll, månadsvis.",
,Monthly archive,,,,,,Månatligt arkiv,
,Apply,,,,,,Verkställ,
,‹‹,,,,,,‹‹,
,››,,,,,,››,
,{{ arguments.created_year_month }},,,,,,{{ arguments.created_year_month }},
,Block,,,,,,Block,
,Recent content,,,,,,Nyligen uppdaterat innehåll,
,Recent content.,,,,,,Nytt innehåll.,
,No content available.,,,,,,Inget innehåll tillgängligt.,
,More,,,,,,Mer,
,Files,,,,,,Filer,
,Find and manage files.,,,,,,Hitta och hantera filer.,
,‹ Previous,,,,,,‹ Föregående,
,Next ›,,,,,,Nästa ›,
,Fid,,,,,,Fid,
,Name,,,,,,Namn,
,MIME type,,,,,,Typ av MIME,
,Size,,,,,,Storlek,
,Status,,,,,,Status,
,Temporary,,,,,,Temporär,
,Permanent,,,,,,Permanent,
,Upload date,,,,,,Datum för uppladdning,
,Changed date,,,,,,Datum för ändring,
,Used in,,,,,,Används i,
,1 place,@count places,,,,,,
,Filename,,,,,,Filnamn,
,No files available.,,,,,,Inga filer tillgängliga.,
,Files overview,,,,,,Översikt av filer,
,File usage,,,,,,Filanvändning,
,Entity,,,,,,Objekt,
,Entity type,,,,,,Objektstyp,
,Registering module,,,,,,Registrerar modul,
,Use count,,,,,,Antal använd,
,1,@count,,,,,,
,All,,,,,,Alla,
,File usage information for {{ arguments.fid }},,,,,,Information om filanvändande för {{ arguments.fid }},
,Glossary,,,,,,Ordlista,
,"All content, by letter.",,,,,,"All innehåll, i bokstavsordning.",
,Title,,,,,,Titel,
,Author,,,,,,Författare,
,Last update,,,,,,Senaste uppdatering,
,Attachment,,,,,,Bilaga,
,Media,,,,,,Media,
,Find and manage media.,,,,,,Hitta och hantera media.,
,« First,,,,,,« Första,
,Last »,,,,,,Sista »,
,Action,,,,,,Åtgärd,
,Thumbnail,,,,,,Miniatyr,
,Media name,,,,,,Medianamn,
,Type,,,,,,Typ,
,Published,,,,,,Publicerad,
,Unpublished,,,,,,Ej publicerad,
,Updated,,,,,,Uppdaterad,
,Operations,,,,,,Funktioner,
,True,,,,,,Sant,
,Published status,,,,,,Status för publicering,
,Language,,,,,,Språk,
,No media available.,,,,,,Ingen media tillgänglig.,
,Apply filters,,,,,,Tillämpa filter,
,Publishing status,,,,,,Status för publicering,
,Media type,,,,,,Mediatyp,
,Newest first,,,,,,Nyaste först,
,Name (A-Z),,,,,,Namn (A-Z),
,Name (Z-A),,,,,,Namn (Z-A),
,Edit {{ name }},,,,,,Redigera {{ name }},
,Edit,,,,,,Redigera,
,Delete {{ name }},,,,,,Radera {{ name }},
,Delete,,,,,,Radera,
,Widget,,,,,,Widget,
,Grid,,,,,,Rutnät,
,Table,,,,,,Tabell,
,Widget (table),,,,,,Gränssnittskomponent (tabell),
,Taxonomy term,,,,,,Taxonomiterm,
,Content belonging to a certain taxonomy term.,,,,,,Innehåll som hör till en viss taxonomiterm.,
,{{ arguments.tid }},,,,,,{{ arguments.tid }},
,Feed,,,,,,Innehållsflöde,
,People,,,,,,Personer,
,Find and manage people interacting with your site.,,,,,,Hitta och hantera personer som använder din webbplats.,
,Bulk update,,,,,,Massuppdatera,
,Username,,,,,,Användarnamn,
,Active,,,,,,Aktiv,
,Blocked,,,,,,Spärrad,
,Roles,,,,,,Roller,
,Member for,,,,,,Medlem i,
,Last access,,,,,,Senast åtkomst,
,Name or email contains,,,,,,Namn eller e-post innehåller,
,Role,,,,,,Roll,
,Permission,,,,,,Behörighet,
,No people available.,,,,,,Inga personer tillgängliga.,
,more,,,,,,mer,
,List,,,,,,Lista,
,"Manage user accounts, roles, and permissions.",,,,,,"Hantera användarkonton, roller och behörigheter.",
,Webform submissions,,,,,,Verkkolomakelähetykset,
,Default webform submissions views.,,,,,,,
,#,,,,,,,
,Draft,,,,,,Utkast,
,IP address,,,,,,IP-adress,
,view,,,,,,visa,
,Displaying @start - @end of @total,,,,,,Visar @start - @end av @total,
,No submissions available.,,,,,,,
,Embed: Default,,,,,,,
,Display submissions.,,,,,,,
,Embed: Administer,,,,,,,
,Administer submissions.,,,,,,,
,Webform submission operations bulk form,,,,,,,
,Sticky,,,,,,Klistrad,
,Locked,,,,,,Låst,
,Completed,,,,,,Slutförd,
,Is draft,,,,,,,
,Embed: Manage,,,,,,,
,Manage submissions.,,,,,,,
,edit,,,,,,redigera,
,Embed: Review,,,,,,,
,Review submissions.,,,,,,,
,Who's new,,,,,,Vilka är nya?,
,Shows a list of the newest user accounts on the site.,,,,,,Visar en lista över de senast användarkontona på webbplatsen.,
,A list of new users,,,,,,En lista på nya användare,
,Who's online block,,,,,,Block för vilka som är inloggade,
,"Shows the user names of the most recently active users, and the total number of active users.",,,,,,Visar de användarnamnen för de senast aktiva användarna samt de totalt antal aktiva användare.,
,A user is considered online for this long after they have last viewed a page.,,,,,,En användare anses vara inloggad så här länge efter att de senast tittat på en sida.,
,Who's online,,,,,,Vilka är inloggade,
,There are currently @total users online.,,,,,,För närvarande är @total användare inloggade.,
,There are currently 0 users online.,,,,,,För närvarande är 0 användare inloggade.,
,A list of users that are currently logged in.,,,,,,En lista på användare som för närvarande är inloggade.,
,This form has not yet been opened to submissions.,,,,,,Tätä lomaketta ei ole vielä avattu lähetyksille.,
,Sorry… This form is closed to new submissions.,,,,,,,
,Unable to display this webform. Please contact the site administrator.,,,,,,,
,Submit,,,,,,Skicka,
,"This form is confidential. You must <a href=""[site:login-url]/logout?destination=[current-page:url:relative]"">Log out</a> to submit it.",,,,,,"Tämä lomake on luottamuksellinen. Sinun täytyy <a href=""[site:login-url]/logout?destination=[current-page:url:relative]"">kirjautua ulos</a> lähettääksesi se.",
,Please login to access this form.,,,,,,,
,Indicates required field,,,,,,,
,< Previous,,,,,,,
,Next >,,,,,,,
,Start,,,,,,Från,
,Complete,,,,,,Slutförd,
,Show all,,,,,,Näytä kaikki,
,Hide all,,,,,,Piilota kaikki,
,Preview,,,,,,Förhandsgranska,
,[webform:title]: Preview,,,,,,,
,"Please review your submission. Your submission is not complete until you press the ""Submit"" button!",,,,,,,
,Save Draft,,,,,,Spara utkast,
,Submission saved. You may return to this form later and it will restore the current values.,,,,,,Formulär sparat. Du kan återvända till detta formulär senare och fortsätta inmatningen.,
,A partially-completed form was found. Please complete the remaining portions.,,,,,,,
,"You have a pending draft for this webform. <a href=""#"">Load your pending draft</a>.",,,,,,,
,"You have pending drafts for this webform. <a href=""#"">View your pending drafts</a>.",,,,,,,
,New submission added to [webform:title].,,,,,,Lisätty uusi lähetys lomakkeelle [webform:title].,
,Back to form,,,,,,,
,[webform_submission:submitted-to]: Submission #[webform_submission:serial],,,,,,,
,Please login to access this submission.,,,,,,,
,Unable to process this submission. Please contact the site administrator.,,,,,,,
,This submission has been locked.,,,,,,,
,"You have already submitted this webform. <a href=""#"">View your previous submission</a>.",,,,,,"Du har redan skickat in detta formulär. <a href=""#"">Se ditt tidigare inlägg</a>.",
,"You have already submitted this webform. <a href=""#"">View your previous submissions</a>.",,,,,,,
,This submission has been autofilled with your previous submission.,,,,,,,
,No more submissions are permitted.,,,,,,,
,Narrow,,,,,,Smal,
,Normal,,,,,,Normal,
,Wide,,,,,,Bred,
,{Empty},,,,,,-,
,h2,,,,,,,
,Please login to access the uploaded file.,,,,,,,
,Webform submission from: [webform_submission:source-title],,,,,,,
,"Submitted on [webform_submission:created]
Submitted by: [webform_submission:user]

Submitted values are:
[webform_submission:values]
",,,,,,,
,"<p>Submitted on [webform_submission:created]</p>
<p>Submitted by: [webform_submission:user]</p>
<p>Submitted values are:</p>
[webform_submission:values]
",,,,,,,
,"checkbox:
  - true
color:
  - '#ffffcc'
  - '#ffffcc'
  - '#ccffff'
email:
  - 'example@example.com'
  - 'test@test.com'
  - 'random@random.com'
language_select:
  - en
machine_name:
  - 'loremipsum'
  - 'oratione'
  - 'dixisset'
tel:
  - '123-456-7890'
  - '098-765-4321'
textarea:
  - 'Lorem ipsum dolor sit amet, consectetur adipiscing elit. Negat esse eam, inquit, propter se expetendam. Primum Theophrasti, Strato, physicum se voluit; Id mihi magnum videtur. Itaque mihi non satis videmini considerare quod iter sit naturae quaeque progressio. Quare hoc videndum est, possitne nobis hoc ratio philosophorum dare. Est enim tanti philosophi tamque nobilis audacter sua decreta defendere.'
  - 'Huius, Lyco, oratione locuples, rebus ipsis ielunior. Duo Reges: constructio interrete. Sed haec in pueris; Sed utrum hortandus es nobis, Luci, inquit, an etiam tua sponte propensus es? Sapiens autem semper beatus est et est aliquando in dolore; Immo videri fortasse. Paulum, cum regem Persem captum adduceret, eodem flumine invectio? Et ille ridens: Video, inquit, quid agas;'
  - 'Quae cum dixisset, finem ille. Quamquam non negatis nos intellegere quid sit voluptas, sed quid ille dicat. Progredientibus autem aetatibus sensim tardeve potius quasi nosmet ipsos cognoscimus. Gloriosa ostentatio in constituendo summo bono. Qui-vere falsone, quaerere mittimus-dicitur oculis se privasse; Duarum enim vitarum nobis erunt instituta capienda. Comprehensum, quod cognitum non habet? Qui enim existimabit posse se miserum esse beatus non erit. Causa autem fuit huc veniendi ut quosdam hinc libros promerem. Nunc omni virtuti vitium contrario nomine opponitur.'
text_format:
  - value: '<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Negat esse eam, inquit, propter se expetendam. Primum Theophrasti, Strato, physicum se voluit; Id mihi magnum videtur. Itaque mihi non satis videmini considerare quod iter sit naturae quaeque progressio. Quare hoc videndum est, possitne nobis hoc ratio philosophorum dare. Est enim tanti philosophi tamque nobilis audacter sua decreta defendere.</p>'
  - value: '<p>Huius, Lyco, oratione locuples, rebus ipsis ielunior. Duo Reges: constructio interrete. Sed haec in pueris; Sed utrum hortandus es nobis, Luci, inquit, an etiam tua sponte propensus es? Sapiens autem semper beatus est et est aliquando in dolore; Immo videri fortasse. Paulum, cum regem Persem captum adduceret, eodem flumine invectio? Et ille ridens: Video, inquit, quid agas;</p>'
  - value: '<p>Quae cum dixisset, finem ille. Quamquam non negatis nos intellegere quid sit voluptas, sed quid ille dicat. Progredientibus autem aetatibus sensim tardeve potius quasi nosmet ipsos cognoscimus. Gloriosa ostentatio in constituendo summo bono. Qui-vere falsone, quaerere mittimus-dicitur oculis se privasse; Duarum enim vitarum nobis erunt instituta capienda. Comprehensum, quod cognitum non habet? Qui enim existimabit posse se miserum esse beatus non erit. Causa autem fuit huc veniendi ut quosdam hinc libros promerem. Nunc omni virtuti vitium contrario nomine opponitur.</p>'
url:
  - 'http://example.com'
  - 'http://test.com'
webform_email_confirm:
  - 'example@example.com'
  - 'test@test.com'
  - 'random@random.com'
webform_email_multiple:
  - 'example@example.com, test@test.com, random@random.com'
webform_time:
  - '09:00'
  - '17:00'
",,,,,,,
,"first_name:
  - 'John'
  - 'Paul'
  - 'Ringo'
  - 'George'
last_name:
  - 'Lennon'
  - 'McCartney'
  - 'Starr'
  - 'Harrison'
address:
  - '10 Main Street'
  - '11 Brook Alley Road. APT 1'
zip:
  - '11111'
  - '12345'
  - '12345-6789'
postal_code:
  - '11111'
  - '12345'
  - '12345-6789'
phone:
  - '123-456-7890'
  - '098-765-4321'
fax:
  - '123-456-7890'
  - '098-765-4321'
city:
  - 'Springfield'
  - 'Pleasantville'
  - 'Hill Valley'
url:
  - 'http://example.com'
  - 'http://test.com'
default:
  - 'Loremipsum'
  - 'Oratione'
  - 'Dixisset'
",,,,,,"first_name:
  - 'John'
  - 'Paul'
  - 'Ringo'
  - 'George'
last_name:
  - 'Lennon'
  - 'McCartney'
  - 'Starr'
  - 'Harrison'
address:
  - '10 Main Street'
  - '11 Brook Alley Road. APT 1'
zip:
  - '11111'
  - '12345'
  - '12345-6789'
postal_code:
  - '11111'
  - '12345'
  - '12345-6789'
phone:
  - '123-456-7890'
  - '098-765-4321'
fax:
  - '123-456-7890'
  - '098-765-4321'
city:
  - 'Springfield'
  - 'Pleasantville'
  - 'Hill Valley'
url:
  - 'http://example.com'
  - 'http://test.com'
default:
  - '12345'
  - '23456'
  - '23423'
",
,Languages,,,,,,Språk,
,Translations,,,,,,Översättningar,
,Content,,,,,,Innehåll,
,Find and manage content.,,,,,,Hitta och hantera innehåll.,
,Content type,,,,,,Innehållstyp,
,Find and manage content,,,,,,Hitta och hantera innehåll,
,Scheduled content,,,,,,Schemalagt innehåll,
,Find and manage scheduled content.,,,,,,,
,Content Type,,,,,,Innehållstyp,
,Publish on,,,,,,Publicera den,
,Unpublish on,,,,,,Avpublicera den,
,Scheduled Content,,,,,,Schemalagt innehåll,
,No scheduled content.,,,,,,,
,Scheduled,,,,,,Schemalagd,
,Find and manage scheduled content,,,,,,,
,"Overview of all scheduled content, as a tab on main 'content admin' page",,,,,,,
,"Revision nid relationship is required because the content type is only stored at 'content' level, not 'content revision' level.",,,,,,,
,Content Overview,,,,,,Innehållsöversikt,
,"Scheduled content tab on user profile, showing just that user's scheduled content",,,,,,,
,No scheduled content for user {{ arguments.uid }},,,,,,,
,User profile tab,,,,,,,
,[term:url],,,,,,,
,[term:description],,,,,,,
,"[term:name] | [site:name]",,,,,,"[term:name] | [site:page-title-suffix]",
,Global,,,,,,Globalt,
,[current-page:url],,,,,,,
,"[current-page:title] | [site:name]",,,,,,"[current-page:title] | [site:page-title-suffix]",
,Front page,,,,,,Startsida,
,[site:url],,,,,,,
,Paragraph,,,,,,Paragraf,
,Paragraphs,,,,,,Paragrafer,
,Enter your @s username.,,,,,,Ange ditt användarnamn på @s.,
,Password,,,,,,Lösenord,
,Enter the password that accompanies your username.,,,,,,Ange lösenordet för ditt konto.,
,Log in,,,,,,Logga in,
,Skip to main content,,,,,,Hoppa till huvudinnehåll,
,Accept only essential cookies,,,,,,,
,Back to front page,,,,,,,
,Crop type,,,,,,,
,Linkit profile,,,,,,Profil för Linkit,
,Metatag defaults,,,,,,,
,Pathauto pattern,,,,,,Mönster för Pathauto,
,Cookie category,,,,,,,
,Date format,,,,,,Datumformat,
,Form mode,,,,,,Formulärläge,
,View mode,,,,,,Visningsläge,
,Create new account,,,,,,Skapa nytt konto,
,Reset your password,,,,,,Återställ ditt lösenord,
,Primary tabs,,,,,,Primära flikar,
,@local-task-title@active,,,,,,@local-task-title@active,
,(active tab),,,,,,(aktiv flik),
,@type_label bundle,,,,,,bundle @type_label,
,Custom menu link,,,,,,Anpassad menylänk,
,You have just used your one-time login link. It is no longer necessary to use this link to log in. Please change your password.,,,,,,Du har just använt din engångslänk för inloggning. Det är inte längre nödvändigt att använda denna länk för att logga in. Var vänlig byt lösenord.,
,@zone,,,,,,@zone,
,Africa/Abidjan,,,,,,,
,Africa/Accra,,,,,,,
,Africa/Addis Ababa,,,,,,,
,Africa/Algiers,,,,,,,
,Africa/Asmara,,,,,,,
,Africa/Bamako,,,,,,,
,Africa/Bangui,,,,,,,
,Africa/Banjul,,,,,,,
,Africa/Bissau,,,,,,,
,Africa/Blantyre,,,,,,,
,Africa/Brazzaville,,,,,,,
,Africa/Bujumbura,,,,,,,
,Africa/Cairo,,,,,,,
,Africa/Casablanca,,,,,,,
,Africa/Ceuta,,,,,,,
,Africa/Conakry,,,,,,,
,Africa/Dakar,,,,,,,
,Africa/Dar es Salaam,,,,,,,
,Africa/Djibouti,,,,,,,
,Africa/Douala,,,,,,,
,Africa/El Aaiun,,,,,,,
,Africa/Freetown,,,,,,,
,Africa/Gaborone,,,,,,,
,Africa/Harare,,,,,,,
,Africa/Johannesburg,,,,,,,
,Africa/Juba,,,,,,,
,Africa/Kampala,,,,,,,
,Africa/Khartoum,,,,,,,
,Africa/Kigali,,,,,,,
,Africa/Kinshasa,,,,,,,
,Africa/Lagos,,,,,,,
,Africa/Libreville,,,,,,,
,Africa/Lome,,,,,,,
,Africa/Luanda,,,,,,,
,Africa/Lubumbashi,,,,,,,
,Africa/Lusaka,,,,,,,
,Africa/Malabo,,,,,,,
,Africa/Maputo,,,,,,,
,Africa/Maseru,,,,,,,
,Africa/Mbabane,,,,,,,
,Africa/Mogadishu,,,,,,,
,Africa/Monrovia,,,,,,,
,Africa/Nairobi,,,,,,,
,Africa/Ndjamena,,,,,,,
,Africa/Niamey,,,,,,,
,Africa/Nouakchott,,,,,,,
,Africa/Ouagadougou,,,,,,,
,Africa/Porto-Novo,,,,,,,
,Africa/Sao Tome,,,,,,,
,Africa/Tripoli,,,,,,,
,Africa/Tunis,,,,,,,
,Africa/Windhoek,,,,,,,
,America/Adak,,,,,,,
,America/Anchorage,,,,,,,
,America/Anguilla,,,,,,,
,America/Antigua,,,,,,,
,America/Araguaina,,,,,,,
,America/Argentina/Buenos Aires,,,,,,,
,America/Argentina/Catamarca,,,,,,,
,America/Argentina/Cordoba,,,,,,,
,America/Argentina/Jujuy,,,,,,,
,America/Argentina/La Rioja,,,,,,,
,America/Argentina/Mendoza,,,,,,,
,America/Argentina/Rio Gallegos,,,,,,,
,America/Argentina/Salta,,,,,,,
,America/Argentina/San Juan,,,,,,,
,America/Argentina/San Luis,,,,,,,
,America/Argentina/Tucuman,,,,,,,
,America/Argentina/Ushuaia,,,,,,,
,America/Aruba,,,,,,,
,America/Asuncion,,,,,,,
,America/Atikokan,,,,,,,
,America/Bahia,,,,,,,
,America/Bahia Banderas,,,,,,,
,America/Barbados,,,,,,,
,America/Belem,,,,,,,
,America/Belize,,,,,,,
,America/Blanc-Sablon,,,,,,,
,America/Boa Vista,,,,,,,
,America/Bogota,,,,,,,
,America/Boise,,,,,,,
,America/Cambridge Bay,,,,,,,
,America/Campo Grande,,,,,,,
,America/Cancun,,,,,,,
,America/Caracas,,,,,,,
,America/Cayenne,,,,,,,
,America/Cayman,,,,,,,
,America/Chicago,,,,,,,
,America/Chihuahua,,,,,,,
,America/Costa Rica,,,,,,,
,America/Creston,,,,,,,
,America/Cuiaba,,,,,,,
,America/Curacao,,,,,,,
,America/Danmarkshavn,,,,,,,
,America/Dawson,,,,,,,
,America/Dawson Creek,,,,,,,
,America/Denver,,,,,,,
,America/Detroit,,,,,,,
,America/Dominica,,,,,,,
,America/Edmonton,,,,,,,
,America/Eirunepe,,,,,,,
,America/El Salvador,,,,,,,
,America/Fort Nelson,,,,,,,
,America/Fortaleza,,,,,,,
,America/Glace Bay,,,,,,,
,America/Goose Bay,,,,,,,
,America/Grand Turk,,,,,,,
,America/Grenada,,,,,,,
,America/Guadeloupe,,,,,,,
,America/Guatemala,,,,,,,
,America/Guayaquil,,,,,,,
,America/Guyana,,,,,,,
,America/Halifax,,,,,,,
,America/Havana,,,,,,,
,America/Hermosillo,,,,,,,
,America/Indiana/Indianapolis,,,,,,,
,America/Indiana/Knox,,,,,,,
,America/Indiana/Marengo,,,,,,,
,America/Indiana/Petersburg,,,,,,,
,America/Indiana/Tell City,,,,,,,
,America/Indiana/Vevay,,,,,,,
,America/Indiana/Vincennes,,,,,,,
,America/Indiana/Winamac,,,,,,,
,America/Inuvik,,,,,,,
,America/Iqaluit,,,,,,,
,America/Jamaica,,,,,,,
,America/Juneau,,,,,,,
,America/Kentucky/Louisville,,,,,,,
,America/Kentucky/Monticello,,,,,,,
,America/Kralendijk,,,,,,,
,America/La Paz,,,,,,,
,America/Lima,,,,,,,
,America/Los Angeles,,,,,,,
,America/Lower Princes,,,,,,,
,America/Maceio,,,,,,,
,America/Managua,,,,,,,
,America/Manaus,,,,,,,
,America/Marigot,,,,,,,
,America/Martinique,,,,,,,
,America/Matamoros,,,,,,,
,America/Mazatlan,,,,,,,
,America/Menominee,,,,,,,
,America/Merida,,,,,,,
,America/Metlakatla,,,,,,,
,America/Mexico City,,,,,,,
,America/Miquelon,,,,,,,
,America/Moncton,,,,,,,
,America/Monterrey,,,,,,,
,America/Montevideo,,,,,,,
,America/Montserrat,,,,,,,
,America/Nassau,,,,,,,
,America/New York,,,,,,,
,America/Nipigon,,,,,,,
,America/Nome,,,,,,,
,America/Noronha,,,,,,,
,America/North Dakota/Beulah,,,,,,,
,America/North Dakota/Center,,,,,,,
,America/North Dakota/New Salem,,,,,,,
,America/Nuuk,,,,,,,
,America/Ojinaga,,,,,,,
,America/Panama,,,,,,,
,America/Pangnirtung,,,,,,,
,America/Paramaribo,,,,,,,
,America/Phoenix,,,,,,,
,America/Port of Spain,,,,,,,
,America/Port-au-Prince,,,,,,,
,America/Porto Velho,,,,,,,
,America/Puerto Rico,,,,,,,
,America/Punta Arenas,,,,,,,
,America/Rainy River,,,,,,,
,America/Rankin Inlet,,,,,,,
,America/Recife,,,,,,,
,America/Regina,,,,,,,
,America/Resolute,,,,,,,
,America/Rio Branco,,,,,,,
,America/Santarem,,,,,,,
,America/Santiago,,,,,,,
,America/Santo Domingo,,,,,,,
,America/Sao Paulo,,,,,,,
,America/Scoresbysund,,,,,,,
,America/Sitka,,,,,,,
,America/St Barthelemy,,,,,,,
,America/St Johns,,,,,,,
,America/St Kitts,,,,,,,
,America/St Lucia,,,,,,,
,America/St Thomas,,,,,,,
,America/St Vincent,,,,,,,
,America/Swift Current,,,,,,,
,America/Tegucigalpa,,,,,,,
,America/Thule,,,,,,,
,America/Thunder Bay,,,,,,,
,America/Tijuana,,,,,,,
,America/Toronto,,,,,,,
,America/Tortola,,,,,,,
,America/Vancouver,,,,,,,
,America/Whitehorse,,,,,,,
,America/Winnipeg,,,,,,,
,America/Yakutat,,,,,,,
,America/Yellowknife,,,,,,,
,Antarctica/Casey,,,,,,,
,Antarctica/Davis,,,,,,,
,Antarctica/DumontDUrville,,,,,,,
,Antarctica/Macquarie,,,,,,,
,Antarctica/Mawson,,,,,,,
,Antarctica/McMurdo,,,,,,,
,Antarctica/Palmer,,,,,,,
,Antarctica/Rothera,,,,,,,
,Antarctica/Syowa,,,,,,,
,Antarctica/Troll,,,,,,,
