msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0]
,to My Services > My Information so it can be used on the application.,,,/app/public/modules/custom/grants_handler/grants_handler.module:514,,,
,Some information fetched from personal information,,,/app/public/modules/custom/grants_handler/grants_handler.module:528,,,
,Check the information on the form before sending the application. You can change your own information from personal information section of the site.,,,/app/public/modules/custom/grants_handler/grants_handler.module:531,,,
,"Fields marked with an asterisk * are required, that need to be filled before saving.",,,/app/public/modules/custom/grants_handler/grants_handler.module:545,,,
,"You don't have company selected, no fields are prepopulated",,,/app/public/modules/custom/grants_handler/grants_handler.module:589,,,
,Date,,,/app/public/modules/custom/grants_handler/grants_handler.module:781,,,
,Source,,,/app/public/modules/custom/grants_handler/grants_handler.module:782,,,
,Description,,,/app/public/modules/custom/grants_handler/grants_handler.module:783,,,
,No events have been found.,,,/app/public/modules/custom/grants_handler/grants_handler.module:786,,,
,Edit application,,,/app/public/modules/custom/grants_handler/grants_handler.module:1007;1204,,,
,View application,,,/app/public/modules/custom/grants_handler/grants_handler.module:1008,,,
,Grants profile,,,/app/public/modules/custom/grants_handler/grants_handler.module:1081,,,
,View Application,,,/app/public/modules/custom/grants_handler/grants_handler.module:1085,,,
,Mark read,,,/app/public/modules/custom/grants_handler/grants_handler.module:1120,,,
,Oma viesti,,,/app/public/modules/custom/grants_handler/grants_handler.module:1125,,,
,Applications Helsinki,,,/app/public/modules/custom/grants_handler/grants_handler.module:1127,,,
,Print application,,,/app/public/modules/custom/grants_handler/grants_handler.module:1185,,,
,Copy application,,,/app/public/modules/custom/grants_handler/grants_handler.module:1226,,,
,Application status not in valid statuses: %number,,,/app/public/modules/custom/grants_handler/grants_handler.module:1031,,,
,Application status not in valid statuses: %appno,,,/app/public/modules/custom/grants_handler/grants_handler.module:1062,,,
,@label: @msg,,,/app/public/modules/custom/grants_handler/src/ApplicationHandler.php:726,,,
,"Application saving failed, error has been logged.",,,/app/public/modules/custom/grants_handler/src/ApplicationHandler.php:981,,,
,DEBUG: Endpoint: %endpoint,,,/app/public/modules/custom/grants_handler/src/ApplicationHandler.php:929,,,
,DEBUG: Sent JSON: %myJSON,,,/app/public/modules/custom/grants_handler/src/ApplicationHandler.php:935,,,
,"Data sent to integration, response status: @status",,,/app/public/modules/custom/grants_handler/src/ApplicationHandler.php:969,,,
,Sender details parsing threw error: @error,,,/app/public/modules/custom/grants_handler/src/ApplicationHandler.php:811,,,
,Error saving application: %msg,,,/app/public/modules/custom/grants_handler/src/ApplicationHandler.php:982,,,
,No submissiondata when trying to validate saveid: %application_number @saveid,,,/app/public/modules/custom/grants_handler/src/ApplicationHandler.php:1306,,,
,"Save ids not matching  %application_number ATV:@saveid, Local: %local_save_id",,,/app/public/modules/custom/grants_handler/src/ApplicationHandler.php:1331,,,
,"Data not saved to Avus. %application_number ATV:@saveid, Local: %local_save_id",,,/app/public/modules/custom/grants_handler/src/ApplicationHandler.php:1343,,,
,"File upload not finished.  %application_number ATV:@saveid, Local: %local_save_id",,,/app/public/modules/custom/grants_handler/src/ApplicationHandler.php:1385,,,
,"Event ID: %eventId, JSON:  %json",,,/app/public/modules/custom/grants_handler/src/EventsService.php:141,,,
,"Event logged: %eventId, message sent.",,,/app/public/modules/custom/grants_handler/src/EventsService.php:157,,,
,Document %appno not found when loading WebformSubmission: %submission. Error: %msg,,,/app/public/modules/custom/grants_handler/src/GrantsHandlerSubmissionStorage.php:156,,,
,New message for @applicationNumber.,,,/app/public/modules/custom/grants_handler/src/MessageService.php:180,,,
,"MSG id: %msgId, JSON: %json",,,/app/public/modules/custom/grants_handler/src/MessageService.php:168,,,
,"MSG id: %nextId, message sent. Event logged: %eventId",,,/app/public/modules/custom/grants_handler/src/MessageService.php:186,,,
,%error,,,/app/public/modules/custom/grants_handler/src/MessageService.php:196,,,
,Front page,,,/app/public/modules/custom/grants_handler/src/Breadcrumb/GrantsHandlerSubmissionBreadcrumbsBuilder.php:69 /app/public/modules/custom/grants_handler/src/Breadcrumb/GrantsHandlerWebformBreadcrumbsBuilder.php:73,,,
,"Application saving process not done, data on this page is not yet updated.",,,/app/public/modules/custom/grants_handler/src/Controller/ApplicationController.php:219,,,
,File uploads are pending. Data on this page is not fully updated.,,,/app/public/modules/custom/grants_handler/src/Controller/ApplicationController.php:223,,,
,Completion page for @submissionId,,,/app/public/modules/custom/grants_handler/src/Controller/CompletionController.php:41,,,
,Message marked as read,,,/app/public/modules/custom/grants_handler/src/Controller/MessageController.php:127;130,,,
,Message marking as read failed.,,,/app/public/modules/custom/grants_handler/src/Controller/MessageController.php:137,,,
,Message already read.,,,/app/public/modules/custom/grants_handler/src/Controller/MessageController.php:141,,,
,Error: %error,,,/app/public/modules/custom/grants_handler/src/Controller/MessageController.php:134 /app/public/modules/custom/grants_handler/src/Controller/WebformNavigationController.php:80;116 /app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:1045,,,
,"Deleting draft failed. Error has been logged, please contact support.",,,/app/public/modules/custom/grants_handler/src/Controller/WebformNavigationController.php:79;115,,,
,Only DRAFT status submissions are deletable,,,/app/public/modules/custom/grants_handler/src/Controller/WebformNavigationController.php:91,,,
,Bank account,,,/app/public/modules/custom/grants_handler/src/Element/BankAccountComposite.php:41,,,
,Select account,,,/app/public/modules/custom/grants_handler/src/Element/BankAccountComposite.php:72,,,
,Select address,,,/app/public/modules/custom/grants_handler/src/Element/CommunityAddressComposite.php:41;97,,,
,Street address,,,/app/public/modules/custom/grants_handler/src/Element/CommunityAddressComposite.php:48,,,
,Post code,,,/app/public/modules/custom/grants_handler/src/Element/CommunityAddressComposite.php:52,,,
,City,,,/app/public/modules/custom/grants_handler/src/Element/CommunityAddressComposite.php:56,,,
,Country,,,/app/public/modules/custom/grants_handler/src/Element/CommunityAddressComposite.php:60,,,
,Select official,,,/app/public/modules/custom/grants_handler/src/Element/CommunityOfficialsComposite.php:42;98,,,
,Name,,,/app/public/modules/custom/grants_handler/src/Element/CommunityOfficialsComposite.php:54,,,
,Role,,,/app/public/modules/custom/grants_handler/src/Element/CommunityOfficialsComposite.php:58,,,
,Email,,,/app/public/modules/custom/grants_handler/src/Element/CommunityOfficialsComposite.php:62,,,
,Phone,,,/app/public/modules/custom/grants_handler/src/Element/CommunityOfficialsComposite.php:66,,,
,Subvention name,,,/app/public/modules/custom/grants_handler/src/Element/CompensationsComposite.php:36,,,
,Subvention type,,,/app/public/modules/custom/grants_handler/src/Element/CompensationsComposite.php:41 /app/public/modules/custom/grants_handler/src/Plugin/WebformElement/CompensationsComposite.php:90,,,
,Subvention amount,,,/app/public/modules/custom/grants_handler/src/Element/CompensationsComposite.php:46,,,
,You must select company & authorise it.,,,/app/public/modules/custom/grants_handler/src/EventSubscriber/ForceCompanyAuthorisationSubscriber.php:152,,,
,Copy application,,,/app/public/modules/custom/grants_handler/src/Form/CopyApplicationForm.php:102,,,
,"Grant application copied(<span id=""saved-application-number"">@number</span>)",,,/app/public/modules/custom/grants_handler/src/Form/CopyApplicationForm.php:133,,,
,See this form as a modal.,,,/app/public/modules/custom/grants_handler/src/Form/CopyApplicationModalForm.php:136,,,
,Use application as base,,,/app/public/modules/custom/grants_handler/src/Form/CopyApplicationModalForm.php:160,,,
,"Grant application copied, new id: <span id=""saved-application-number"">@number</span>",,,/app/public/modules/custom/grants_handler/src/Form/CopyApplicationModalForm.php:215,,,
,Errors,,,/app/public/modules/custom/grants_handler/src/Form/CopyApplicationModalForm.php:264,,,
,Message,,,/app/public/modules/custom/grants_handler/src/Form/MessageForm.php:96,,,
,Attachment,,,/app/public/modules/custom/grants_handler/src/Form/MessageForm.php:105,,,
,Add attachment to your message,,,/app/public/modules/custom/grants_handler/src/Form/MessageForm.php:114,,,
,Attachment description,,,/app/public/modules/custom/grants_handler/src/Form/MessageForm.php:118,,,
,Send,,,/app/public/modules/custom/grants_handler/src/Form/MessageForm.php:127,,,
,webformSubmission not found!,,,/app/public/modules/custom/grants_handler/src/Form/MessageForm.php:158,,,
,Attachment (@filename) uploaded,,,/app/public/modules/custom/grants_handler/src/Form/MessageForm.php:203,,,
,Attachment (@filename) upload failed with message: @msg. Event has been logged.,,,/app/public/modules/custom/grants_handler/src/Form/MessageForm.php:212,,,
,Your message has been sent. Please note that it will take some time it appears on application.,,,/app/public/modules/custom/grants_handler/src/Form/MessageForm.php:233,,,
,Your message: @message,,,/app/public/modules/custom/grants_handler/src/Form/MessageForm.php:235,,,
,Sending of your message failed.,,,/app/public/modules/custom/grants_handler/src/Form/MessageForm.php:239,,,
,Community bank account,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformElement/BankAccountComposite.php:8,,,
,Provides a bank account element for company.,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformElement/BankAccountComposite.php:8,,,
,Helfi,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformElement/BankAccountComposite.php:8 /app/public/modules/custom/grants_handler/src/Plugin/WebformElement/CommunityAddressComposite.php:8 /app/public/modules/custom/grants_handler/src/Plugin/WebformElement/CommunityOfficialsComposite.php:9,,,
,Community address composite,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformElement/CommunityAddressComposite.php:8,,,
,Provides a address element for company.,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformElement/CommunityAddressComposite.php:8 /app/public/modules/custom/grants_handler/src/Plugin/WebformElement/CommunityOfficialsComposite.php:9,,,
,Community officials composite,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformElement/CommunityOfficialsComposite.php:9,,,
,Grants Compensations,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformElement/CompensationsComposite.php:9,,,
,Element for compensations element,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformElement/CompensationsComposite.php:9,,,
,Grants,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformElement/CompensationsComposite.php:9,,,
,Development settings,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:242,,,
,Enable debugging,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:246,,,
,"If checked, every handler method invoked will be displayed onscreen to all users.",,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:247,,,
,"Application data is not yet fully saved, please refresh page in few moments.",,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:452,,,
,"Grant application (<span id=""saved-application-number"">@number</span>) saved as DRAFT",,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:897,,,
,"Grant application (<span id=""saved-application-number"">@number</span>) saving failed. Please contact support.",,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:925;1025,,,
,"Grant application (<span id=""saved-application-number"">@number</span>) saved.",,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:1004,,,
,Invoked @id: @class_name:@method_name @context1,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:1078,,,
,Error uploadind application: @error,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:937;941,,,
,Error: @error,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:961,,,
,Grants Handler,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:29,,,
,helfi,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:29,,,
,Grants webform handler,,,/app/public/modules/custom/grants_handler/src/Plugin/WebformHandler/GrantsHandler.php:29,,,
,Draft expired,,,/app/public/modules/custom/grants_handler/templates/application-list-item.html.twig:11,,,
,Delete application,,,/app/public/modules/custom/grants_handler/templates/application-list-item.html.twig:20,,,
,Print application,,,/app/public/modules/custom/grants_handler/templates/application-list-item.html.twig:28,,,
,Draft saved time,,,/app/public/modules/custom/grants_handler/templates/application-list-item.html.twig:40,,,
,This application is not open,,,/app/public/modules/custom/grants_handler/templates/application-list-item.html.twig:51,,,
,Submission date,,,/app/public/modules/custom/grants_handler/templates/application-list-item.html.twig:61 /app/public/modules/custom/grants_handler/templates/grants-handler-completion.html.twig:28,,,
,Application number,,,/app/public/modules/custom/grants_handler/templates/application-list-item.html.twig:68 /app/public/modules/custom/grants_handler/templates/grants-handler-completion.html.twig:32,,,
,Search for an application,,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:8,,,
,Search for application,,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:15,,,
,Show only applications being processed,,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:22,,,
,Applications,,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:27;51,,,
,Sort,,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:29,,,
,Sort by,,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:32,,,
,Submitted time (oldest first),,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:33,,,
,Submitted time (newest first),,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:34,,,
,Status (a-z),,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:35,,,
,Status (z-a),,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:36,,,
,Name (a-z),,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:37,,,
,Name (z-a),,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:38,,,
,Application number (a-z),,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:39,,,
,Application number (z-a),,,/app/public/modules/custom/grants_handler/templates/application-list.html.twig:40,,,
,Grant application sent successfully,,,/app/public/modules/custom/grants_handler/templates/grants-handler-completion.html.twig:25,,,
,Make sure that the status of the application changes from “Submitted” to “Received”. The application is only fully received when the status reads “Received”.,,,/app/public/modules/custom/grants_handler/templates/grants-handler-completion.html.twig:41,,,
,The status change can take from seconds to few minutes.,,,/app/public/modules/custom/grants_handler/templates/grants-handler-completion.html.twig:44,,,
,Olet kopioimassa hakemusta,,,/app/public/modules/custom/grants_handler/templates/grants-handler-copy-application-modal.html.twig:1,,,
,Voit kopioida ja käyttää tämän hakemuksen tietoja uudessa hakemuksessa. Hakemuksen liitetiedostot eivät kopioidu uuteen hakemukseen.,,,/app/public/modules/custom/grants_handler/templates/grants-handler-copy-application-modal.html.twig:2,,,
,Debugging is enabled,,,/app/public/modules/custom/grants_handler/templates/grants-handler-example-summary.html.twig:19,,,
,New message,,,/app/public/modules/custom/grants_handler/templates/message-list-item.html.twig:4,,,
,Messages,,,/app/public/modules/custom/grants_handler/templates/webform-submission-messages.html.twig:24,,,
,You can send a message to the handler of the application or provide a missing attachment,,,/app/public/modules/custom/grants_handler/templates/webform-submission-messages.html.twig:25,,,
,Sent messages,,,/app/public/modules/custom/grants_handler/templates/webform-submission-messages.html.twig:27,,,
,Error: @error,,,/app/public/modules/custom/grants_industries/grants_industries.module:141,,,
,grants_industries status,,,/app/public/modules/custom/grants_industries/grants_industries.install:31,,,
,grants_industries value: @value,,,/app/public/modules/custom/grants_industries/grants_industries.install:32,,,
,grants_industries,,,/app/public/modules/custom/grants_industries/grants_industries.info.yml:0 /app/public/modules/custom/grants_industries/grants_industries.links.menu.yml:0,,,
,Handle access etc for industry specific things,,,/app/public/modules/custom/grants_industries/grants_industries.info.yml:0,,,
,Helfi,,,/app/public/modules/custom/grants_industries/grants_industries.info.yml:0,,,
,Configure grants_industries.,,,/app/public/modules/custom/grants_industries/grants_industries.links.menu.yml:0,,,
,Administer grants_industries configuration,,,/app/public/modules/custom/grants_industries/grants_industries.permissions.yml:0,,,
,Optional description.,,,/app/public/modules/custom/grants_industries/grants_industries.permissions.yml:0,,,
,grants_industries settings,,,/app/public/modules/custom/grants_industries/grants_industries.routing.yml:0,,,
,Map local roles to AD ones..,,,/app/public/modules/custom/grants_industries/src/Form/SettingsForm.php:62,,,
,Ad group,,,/app/public/modules/custom/grants_industries/src/Form/SettingsForm.php:75,,,
,Role,,,/app/public/modules/custom/grants_industries/src/Form/SettingsForm.php:79,,,
,Remove this,,,/app/public/modules/custom/grants_industries/src/Form/SettingsForm.php:92,,,
,Add one more,,,/app/public/modules/custom/grants_industries/src/Form/SettingsForm.php:108,,,
,Grants mandates,,,/app/public/modules/custom/grants_mandate/grants_mandate.info.yml:0,,,
,Get authorisation mandates from valtuutukset.suomi.fi,,,/app/public/modules/custom/grants_mandate/grants_mandate.info.yml:0,,,
,Helfi,,,/app/public/modules/custom/grants_mandate/grants_mandate.info.yml:0,,,
,Get mandates from DVV,,,/app/public/modules/custom/grants_mandate/grants_mandate.permissions.yml:0,,,
,Use valtuutuspalvelu,,,/app/public/modules/custom/grants_mandate/grants_mandate.permissions.yml:0,,,
,Select Applicant Type,,,/app/public/modules/custom/grants_mandate/grants_mandate.routing.yml:0;0;0;0,,,
,Error in user mandates. Error: @error. RequestId: @requestId,,,/app/public/modules/custom/grants_mandate/src/GrantsMandateService.php:287,,,
,Error in user mandates. Url: @url. RequestId: @requestId,,,/app/public/modules/custom/grants_mandate/src/GrantsMandateService.php:289,,,
,"Code exchange error. @error: @error_desc. State: @state, Error URI: @error_uri",,,/app/public/modules/custom/grants_mandate/src/Controller/GrantsMandateController.php:136,,,
,Error: %error,,,/app/public/modules/custom/grants_mandate/src/Controller/GrantsMandateController.php:144,,,
,Choose the applicant role you want to use for the application,,,/app/public/modules/custom/grants_mandate/src/Form/ApplicantMandateForm.php:90,,,
,Registered community,,,/app/public/modules/custom/grants_mandate/src/Form/ApplicantMandateForm.php:104,,,
,This is a short description of the applicant role.,,,/app/public/modules/custom/grants_mandate/src/Form/ApplicantMandateForm.php:106,,,
,Select role & authorize mandate,,,/app/public/modules/custom/grants_mandate/src/Form/ApplicantMandateForm.php:111,,,
,Oma Asiointi,,,/app/public/modules/custom/grants_oma_asiointi/grants_oma_asiointi.info.yml:0 /app/public/modules/custom/grants_oma_asiointi/src/Plugin/Block/OmaAsiointiBlock.php:15,,,
,Module for person/company own details &amp; things related to them.,,,/app/public/modules/custom/grants_oma_asiointi/grants_oma_asiointi.info.yml:0,,,
,Helfi,,,/app/public/modules/custom/grants_oma_asiointi/grants_oma_asiointi.info.yml:0,,,
,Access Oma Asiointi,,,/app/public/modules/custom/grants_oma_asiointi/grants_oma_asiointi.permissions.yml:0,,,
,Access to oma asiointi services.,,,/app/public/modules/custom/grants_oma_asiointi/grants_oma_asiointi.permissions.yml:0,,,
,Administer grants_oma_asiointi configuration,,,/app/public/modules/custom/grants_oma_asiointi/grants_oma_asiointi.permissions.yml:0,,,
,Optional description.,,,/app/public/modules/custom/grants_oma_asiointi/grants_oma_asiointi.permissions.yml:0,,,
,Community applications,,,/app/public/modules/custom/grants_oma_asiointi/grants_oma_asiointi.routing.yml:0,,,
,My applications,,,/app/public/modules/custom/grants_oma_asiointi/src/Controller/ApplicationsListController.php:183,,,
,Applications in progress,,,/app/public/modules/custom/grants_oma_asiointi/src/Controller/GrantsOmaAsiointiController.php:153,,,
,Sent applications,,,/app/public/modules/custom/grants_oma_asiointi/src/Controller/GrantsOmaAsiointiController.php:160,,,
,Grants Oma Asiointi,,,/app/public/modules/custom/grants_oma_asiointi/src/Plugin/Block/OmaAsiointiBlock.php:15,,,
,My Services,,,/app/public/modules/custom/grants_oma_asiointi/src/Plugin/Derivative/DynamicLocalTasks.php:24,,,
,Grants profile,,,/app/public/modules/custom/grants_oma_asiointi/src/Plugin/Derivative/DynamicLocalTasks.php:29;34,,,
,New message,,,/app/public/modules/custom/grants_oma_asiointi/templates/grants-oma-asiointi-front.html.twig:9,,,
,Grants Profile,,,/app/public/modules/custom/grants_profile/grants_profile.info.yml:0 /app/public/modules/custom/grants_profile/src/Plugin/Block/GrantsProfileMenuItemBlock.php:7 /app/public/modules/custom/grants_profile/src/Plugin/DataType/GrantsProfileData.php:8,,,
